# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       7.974588025348e-03      -4.936974298962e-01      -2.891498588504e+02      -2.894094079353e+02      -4.812292112420e-01      -8.549814980133e+01      -2.883448479322e+02       4.723283864666e-01       4.723283222716e-01 
       8.101479747930e-03      -4.919085216613e-01      -2.973522655002e+02      -2.976255758368e+02      -4.794850892698e-01      -8.639029536265e+01      -2.965228435600e+02       4.706279443998e-01       4.706278838156e-01 
       8.228441953207e-03      -4.901251433862e-01      -3.056411763983e+02      -3.059287783519e+02      -4.777463833416e-01      -8.728897380167e+01      -3.047873967348e+02       4.689320715370e-01       4.689320141352e-01 
       8.355472139485e-03      -4.883475463356e-01      -3.140154289125e+02      -3.143178635364e+02      -4.760133375740e-01      -8.819864810173e+01      -3.131373797014e+02       4.672410299484e-01       4.672409753594e-01 
       8.482567964073e-03      -4.865756840627e-01      -3.224737053796e+02      -3.227915281985e+02      -4.742859052916e-01      -8.912326079855e+01      -3.215715112516e+02       4.655548156014e-01       4.655547635057e-01 
       8.609727232581e-03      -4.848096007039e-01      -3.310147557653e+02      -3.313485311445e+02      -4.725641286486e-01      -9.006618436292e+01      -3.300885701602e+02       4.638734960404e-01       4.638734461605e-01 
       8.736947889087e-03      -4.830491891858e-01      -3.396372449987e+02      -3.399875659885e+02      -4.708479014938e-01      -9.103008255905e+01      -3.386872640476e+02       4.621970210280e-01       4.621969731228e-01 
       8.864228007095e-03      -4.812944226410e-01      -3.483399206751e+02      -3.487074004837e+02      -4.691371954647e-01      -9.201685919867e+01      -3.473663721868e+02       4.605254283129e-01       4.605253821723e-01 
       8.991565781234e-03      -4.795453632873e-01      -3.571216112970e+02      -3.575068750363e+02      -4.674320694232e-01      -9.302757920020e+01      -3.561247436255e+02       4.588588289929e-01       4.588587844333e-01 
       9.118959519597e-03      -4.778018795456e-01      -3.659810129492e+02      -3.663847134134e+02      -4.657323931066e-01      -9.406235381753e+01      -3.649611045790e+02       4.571971558170e-01       4.571971126781e-01 
       9.246407636696e-03      -4.760639325419e-01      -3.749169413561e+02      -3.753397449652e+02      -4.640381254049e-01      -9.512035027922e+01      -3.738742842279e+02       4.555404622987e-01       4.555404204403e-01 
       9.373908646961e-03      -4.743314434220e-01      -3.839281524038e+02      -3.843707521066e+02      -4.623491877924e-01      -9.619972486451e+01      -3.828630584697e+02       4.538887212670e-01       4.538886805667e-01 
       9.501461158736e-03      -4.726043182304e-01      -3.930134429207e+02      -3.934765425627e+02      -4.606654857699e-01      -9.729762698615e+01      -3.919262262445e+02       4.522419235927e-01       4.522418839437e-01 
       9.629063868741e-03      -4.708824590050e-01      -4.021715961702e+02      -4.026559174597e+02      -4.589869216720e-01      -9.841020786231e+01      -4.010625743255e+02       4.506000361510e-01       4.505999974604e-01 
       9.756715556949e-03      -4.691659033391e-01      -4.114015492178e+02      -4.119078149162e+02      -4.573135295472e-01      -9.953269196941e+01      -4.102710242107e+02       4.489631658702e-01       4.489631280574e-01 
       9.884415081846e-03      -4.674543364573e-01      -4.207019144735e+02      -4.212308758146e+02      -4.556450003138e-01      -1.006593145549e+02      -4.195501928886e+02       4.473310732994e-01       4.473310362948e-01 
       1.001216137605e-02      -4.657477799862e-01      -4.300716026395e+02      -4.306240138118e+02      -4.539813536547e-01      -1.017836640316e+02      -4.288989698078e+02       4.457038158934e-01       4.457037796374e-01 
       1.013995344226e-02      -4.640461357701e-01      -4.395095267136e+02      -4.400861404012e+02      -4.523224891527e-01      -1.028985801581e+02      -4.383162395615e+02       4.440814306253e-01       4.440813950673e-01 
       1.026779034945e-02      -4.623492534674e-01      -4.490144055671e+02      -4.496159946910e+02      -4.506682604688e-01      -1.039963951444e+02      -4.478007095359e+02       4.424637656765e-01       4.424637307739e-01 
       1.039567122945e-02      -4.606572149807e-01      -4.585853144048e+02      -4.592126385952e+02      -4.490187441977e-01      -1.050692293996e+02      -4.573514125748e+02       4.408509882374e-01       4.408509539549e-01 
       1.052359527365e-02      -4.589697426962e-01      -4.682209114377e+02      -4.688747622672e+02      -4.473736678562e-01      -1.061090094049e+02      -4.669670036993e+02       4.392428849359e-01       4.392428512445e-01 
       1.065156173003e-02      -4.572867229504e-01      -4.779200445157e+02      -4.786012198938e+02      -4.457329184549e-01      -1.071078633116e+02      -4.766463060382e+02       4.376394079154e-01       4.376393747921e-01 
       1.077956990033e-02      -4.556083828339e-01      -4.876817251929e+02      -4.883910293963e+02      -4.440967216868e-01      -1.080583974024e+02      -4.863883078179e+02       4.360406530553e-01       4.360406204816e-01 
       1.090761913753e-02      -4.539345937717e-01      -4.975047051314e+02      -4.982429693427e+02      -4.424649525212e-01      -1.089538150190e+02      -4.961917586075e+02       4.344464897921e-01       4.344464577542e-01 
       1.103570884337e-02      -4.522616923309e-01      -5.073874074855e+02      -5.081554707216e+02      -4.408339296434e-01      -1.097881033609e+02      -5.060550685928e+02       4.328565013063e-01       4.328564697929e-01 
       1.116383846614e-02      -4.506017487291e-01      -5.173304483839e+02      -5.181291718877e+02      -4.392157793668e-01      -1.105572622826e+02      -5.159788514556e+02       4.312721411772e-01       4.312721101832e-01 
       1.129200749860e-02      -4.489394304480e-01      -5.273304919888e+02      -5.281607506719e+02      -4.375951000779e-01      -1.112568606303e+02      -5.259597790373e+02       4.296915061823e-01       4.296914757008e-01 
       1.142021547607e-02      -4.472837565549e-01      -5.373876641735e+02      -5.382503648176e+02      -4.359809546955e-01      -1.118854786078e+02      -5.359979969515e+02       4.281156272781e-01       4.281155973066e-01 
       1.154846197458e-02      -4.456327146426e-01      -5.475006003399e+02      -5.483966624432e+02      -4.343713211949e-01      -1.124428075063e+02      -5.460921565458e+02       4.265442712656e-01       4.265442418016e-01 
       1.167674660921e-02      -4.439875556617e-01      -5.576684722183e+02      -5.585988317096e+02      -4.327674547209e-01      -1.129302566395e+02      -5.562414537864e+02       4.249776330495e-01       4.249776040918e-01 
       1.180506903257e-02      -4.423476713598e-01      -5.678899820486e+02      -5.688555946166e+02      -4.311687477175e-01      -1.133507349460e+02      -5.664446270321e+02       4.234155423435e-01       4.234155138908e-01 
       1.193342893331e-02      -4.407109450197e-01      -5.781637563958e+02      -5.791655892058e+02      -4.295730723207e-01      -1.137085826194e+02      -5.767003388585e+02       4.218577805075e-01       4.218577525579e-01 
       1.206182603478e-02      -4.390792429394e-01      -5.884890872569e+02      -5.895281155577e+02      -4.279823018240e-01      -1.140102421068e+02      -5.870079207026e+02       4.203046191103e-01       4.203045916590e-01 
       1.219026009379e-02      -4.374521897306e-01      -5.988646238587e+02      -5.999418520235e+02      -4.263960643208e-01      -1.142623202872e+02      -5.973660827943e+02       4.187558652205e-01       4.187558382648e-01 
