# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       3.034054007417e-03      -8.974220493790e-02      -7.885889306244e+01      -7.887817945066e+01      -7.874823968850e-02      -5.424754818964e+01      -7.875002246649e+01       4.455004889352e-01       4.454994380101e-01 
       3.150197027005e-03      -8.598024152970e-02      -8.475746924891e+01      -8.477866047982e+01      -6.813440891800e-02      -5.746847477283e+01      -8.463705511963e+01       4.441492009785e-01       4.441481619810e-01 
       3.267156195714e-03      -4.961844340169e-02      -9.089132328963e+01      -9.091456717777e+01      -4.871763073473e-02      -6.074083063759e+01      -9.075861125439e+01       4.427835845943e-01       4.427826603323e-01 
       3.384862409045e-03      -1.157385590593e-02      -9.725853054661e+01      -9.728397114945e+01      -8.823305780476e-02      -6.405433149428e+01      -9.711273096249e+01       4.414050620135e-01       4.414043686857e-01 
       3.503253317780e-03      -1.259315031319e-03      -1.038570559524e+02      -1.038848337639e+02      -1.795469615165e-01      -6.740465737305e+01      -1.036973713004e+02       4.400150817018e-01       4.400145287161e-01 
       3.622272655202e-03      -1.323398266761e-02      -1.106847523514e+02      -1.107150044882e+02      -2.612060802839e-01      -7.078857284997e+01      -1.105103767613e+02       4.386149321568e-01       4.386144625924e-01 
       3.741869619321e-03      -1.572893374239e-02      -1.177394105238e+02      -1.177722729785e+02      -2.864156468287e-01      -7.420303190676e+01      -1.175495282490e+02       4.372058442355e-01       4.372054579940e-01 
       3.861998310469e-03       9.190192565557e-03      -1.250187369579e+02      -1.250543482684e+02      -2.637374270940e-01      -7.764496401554e+01      -1.248125281610e+02       4.357888787276e-01       4.357885973452e-01 
       3.982617222655e-03       4.187224426368e-02      -1.325203943487e+02      -1.325588987975e+02      -2.409239922051e-01      -8.111115692488e+01      -1.322970438930e+02       4.343650611944e-01       4.343648777716e-01 
       4.103688785824e-03       4.716670924340e-02      -1.402419868893e+02      -1.402835380313e+02      -2.546531564704e-01      -8.459815299610e+01      -1.400006891567e+02       4.329352873867e-01       4.329351576915e-01 
       4.225178955423e-03       1.698063347354e-02      -1.481811201425e+02      -1.482258856620e+02      -2.965612798370e-01      -8.810223841844e+01      -1.479210772408e+02       4.315004703936e-01       4.315003504096e-01 
       4.347056845410e-03      -1.778887442999e-02      -1.563353205827e+02      -1.563834839337e+02      -3.272058332106e-01      -9.161938008173e+01      -1.560557358716e+02       4.300612608846e-01       4.300611439710e-01 
       4.469294400732e-03      -2.163623643746e-02      -1.647021437197e+02      -1.647539073259e+02      -3.209116037690e-01      -9.514530712293e+01      -1.644022224917e+02       4.286183851321e-01       4.286182966868e-01 
       4.591866105418e-03       4.791569901094e-03      -1.732790930407e+02      -1.733346778541e+02      -2.929879502462e-01      -9.867549937763e+01      -1.729580475547e+02       4.271724154210e-01       4.271723743541e-01 
       4.714748722622e-03       2.021975257287e-01      -1.820636862294e+02      -1.821233319812e+02       2.059683119860e-01      -1.022052906947e+02      -1.817207105298e+02       4.257239510503e-01       4.257238560968e-01 
       4.837921063216e-03       2.015345743426e-01      -1.910534083193e+02      -1.911173723937e+02       2.052925653687e-01      -1.057298739954e+02      -1.906877656884e+02       4.242734647056e-01       4.242733853093e-01 
       4.961363779812e-03       2.008706936007e-01      -2.002458051218e+02      -2.003143583659e+02       2.046158756555e-01      -1.092444260152e+02      -1.998567253404e+02       4.228215025619e-01       4.228214358787e-01 
       5.085059183374e-03       2.002044345783e-01      -2.096384759800e+02      -2.097119022339e+02       2.039367958684e-01      -1.127442551002e+02      -2.092251897999e+02       4.213686706363e-01       4.213686143681e-01 
       5.208991079894e-03       1.995377671629e-01      -2.192288878610e+02      -2.193074781194e+02       2.032573019552e-01      -1.162246488782e+02      -2.187906226253e+02       4.199152372532e-01       4.199151895421e-01 
       5.333144624820e-03       1.988699967556e-01      -2.290146035653e+02      -2.290986543334e+02       2.025767013244e-01      -1.196811774146e+02      -2.285505826546e+02       4.184616249575e-01       4.184615842981e-01 
       5.457506193240e-03       1.982020682557e-01      -2.389931824061e+02      -2.390829936406e+02       2.018959436529e-01      -1.231096303848e+02      -2.385026245178e+02       4.170081959173e-01       4.170081610842e-01 
       5.582063263989e-03       1.975341439344e-01      -2.491621555416e+02      -2.492580279527e+02       2.012151936908e-01      -1.265061389110e+02      -2.486442740997e+02       4.155552173342e-01       4.155551873285e-01 
       5.706804316112e-03       1.968662336815e-01      -2.595191152992e+02      -2.596213515588e+02       2.005344640337e-01      -1.298672751815e+02      -2.589731211785e+02       4.141030244280e-01       4.141029984329e-01 
       5.831718736247e-03       1.961985932888e-01      -2.700616871510e+02      -2.701705913469e+02       1.998540136970e-01      -1.331900978670e+02      -2.694867902643e+02       4.126519571192e-01       4.126519344656e-01 
       5.956796735702e-03       1.955311717330e-01      -2.807873782507e+02      -2.809032595417e+02       1.991737925461e-01      -1.364721571244e+02      -2.801827934015e+02       4.112021385138e-01       4.112021186524e-01 
       6.082029276119e-03       1.948641810210e-01      -2.916939477382e+02      -2.918171223989e+02       1.984940166917e-01      -1.397117280692e+02      -2.910588984364e+02       4.097540333457e-01       4.097540158241e-01 
       6.207408002756e-03       1.941976396451e-01      -3.027789257941e+02      -3.029097182798e+02       1.978147053464e-01      -1.429076346408e+02      -3.021126487107e+02       4.083077285135e-01       4.083077129586e-01 
       6.332925184544e-03       1.935316162161e-01      -3.140399130472e+02      -3.141786650967e+02       1.971359286320e-01      -1.460594436429e+02      -3.133416686970e+02       4.068633994311e-01       4.068633855345e-01 
       6.458573660149e-03       1.928662715538e-01      -3.254745633363e+02      -3.256216304278e+02       1.964578493384e-01      -1.491674677817e+02      -3.247436362244e+02       4.054212569322e-01       4.054212444383e-01 
       6.584346789399e-03       1.922015384330e-01      -3.370806175884e+02      -3.372363753551e+02       1.957804023704e-01      -1.522328273830e+02      -3.363163248488e+02       4.039815895445e-01       4.039815782410e-01 
       6.710238409469e-03       1.915374664749e-01      -3.488556605720e+02      -3.490205055892e+02       1.951036379309e-01      -1.552572920088e+02      -3.480573563015e+02       4.025444607080e-01       4.025444504180e-01 
       6.836242795317e-03       1.908741593535e-01      -3.607974407855e+02      -3.609717909407e+02       1.944276617161e-01      -1.582434106318e+02      -3.599645191125e+02       4.011101024568e-01       4.011100930328e-01 
       6.962354623925e-03       1.902116644273e-01      -3.729036537413e+02      -3.730879470828e+02       1.937525222423e-01      -1.611943487051e+02      -3.720355508969e+02       3.996786504798e-01       3.996786417985e-01 
       7.088568941917e-03       1.895499567620e-01      -3.851718871694e+02      -3.853665800925e+02       1.930781944942e-01      -1.641137834881e+02      -3.842680827858e+02       3.982501016933e-01       3.982500936512e-01 
       7.214881136221e-03       1.888891757496e-01      -3.976000597875e+02      -3.978056268564e+02       1.924048206705e-01      -1.670059818885e+02      -3.966600778613e+02       3.968247758135e-01       3.968247683236e-01 
       7.341286907449e-03       1.882292947434e-01      -4.101857890898e+02      -4.104027182089e+02       1.917323738695e-01      -1.698753884093e+02      -4.092091961423e+02       3.954026464590e-01       3.954026394481e-01 
       7.467782245706e-03       1.875704061006e-01      -4.229269485143e+02      -4.231557353661e+02       1.910609482354e-01      -1.727267157049e+02      -4.219133489269e+02       3.939839148226e-01       3.939839082287e-01 
       7.594363408599e-03       1.869125822955e-01      -4.358213899996e+02      -4.360625428811e+02       1.903906175748e-01      -1.755646617862e+02      -4.347704301140e+02       3.925687294402e-01       3.925687232108e-01 
       7.721026901212e-03       1.862558622063e-01      -4.488668846791e+02      -4.491209139649e+02       1.897214211735e-01      -1.783937141229e+02      -4.477782433671e+02       3.911571298593e-01       3.911571239497e-01 
