# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.046706927234e+08       6.898916667352e-14       4.428037629623e-03       2.363835992648e+10       1.417042491729e+04       1.353810165311e-04       1.483228206449e+12       2.556524617498e-03       3.302778752884e+20       2.824954897047e+15       1.540072520658e+16       3.404911261107e-08       2.284759590454e+20       5.587720600139e+20       4.901847334707e-06       1.999977167686e+00 
       1.039430910376e+08       6.995839020726e-14       4.459033640160e-03       2.331086821869e+10       1.417042488630e+04       1.363286834027e-04       1.472917778169e+12       2.574420114991e-03       3.211896921705e+20       2.766451788814e+15       1.508178549728e+16       3.404911261107e-08       2.221890367015e+20       5.433965771093e+20       4.970712597406e-06       1.999977007864e+00 
       1.032205471590e+08       7.094123025100e-14       4.490246619753e-03       2.298791368058e+10       1.417042485509e+04       1.372829839390e-04       1.462679021187e+12       2.592440878510e-03       3.123515865704e+20       2.709160244564e+15       1.476945083644e+16       3.404911261107e-08       2.160751102044e+20       5.284441753859e+20       5.040545331465e-06       1.999976846923e+00 
       1.025030259289e+08       7.193787810074e-14       4.521678085439e-03       2.266943345269e+10       1.417042482365e+04       1.382439645756e-04       1.452511437293e+12       2.610587784884e-03       3.037566771606e+20       2.653055173541e+15       1.446358443751e+16       3.404911261107e-08       2.101294192659e+20       5.139032130661e+20       5.111359128534e-06       1.999976684856e+00 
       1.017904924334e+08       7.294852773994e-14       4.553329568807e-03       2.235536554645e+10       1.417042479200e+04       1.392116720731e-04       1.442414531738e+12       2.628861717077e-03       2.953982719656e+20       2.598112004602e+15       1.416405234668e+16       3.404911261107e-08       2.043473345854e+20       4.997623687153e+20       5.183167771207e-06       1.999976521654e+00 
       1.010829120008e+08       7.397337587728e-14       4.585202608723e-03       2.204564883208e+10       1.417042476013e+04       1.401861535195e-04       1.432387813213e+12       2.647263564233e-03       2.872698631515e+20       2.544306675459e+15       1.387072338428e+16       3.404911261107e-08       1.987243542459e+20       4.860106324275e+20       5.255985235701e-06       1.999976357310e+00 
       1.003802502009e+08       7.501262198495e-14       4.617298756784e-03       2.174022302674e+10       1.417042472803e+04       1.411674563324e-04       1.422430793823e+12       2.665794221723e-03       2.793651219590e+20       2.491615622137e+15       1.358346908726e+16       3.404911261107e-08       1.932561002086e+20       4.726372972523e+20       5.329825694577e-06       1.999976191816e+00 
       9.968247284247e+07       7.606646833748e-14       4.649619571865e-03       2.143902868274e+10       1.417042469571e+04       1.421556282613e-04       1.412542989067e+12       2.684454591182e-03       2.716778937758e+20       2.440015768659e+15       1.330216365299e+16       3.404911261107e-08       1.879383149043e+20       4.596319508595e+20       5.404703519499e-06       1.999976025163e+00 
       9.898954597213e+07       7.713512005109e-14       4.682166631028e-03       2.114200717603e+10       1.417042466317e+04       1.431507173899e-04       1.402723917809e+12       2.703245580556e-03       2.642021933448e+20       2.389484516937e+15       1.302668388411e+16       3.404911261107e-08       1.827668579182e+20       4.469844674313e+20       5.480633284030e-06       1.999975857344e+00 
       9.830143587249e+07       7.821878512362e-14       4.714941514976e-03       2.084910069473e+10       1.417042463039e+04       1.441527721387e-04       1.392973102261e+12       2.722168104148e-03       2.569322001038e+20       2.339999736873e+15       1.275690913463e+16       3.404911261107e-08       1.777377027665e+20       4.346849997791e+20       5.557629766469e-06       1.999975688350e+00 
       9.761810906054e+07       7.931767447503e-14       4.747945818963e-03       2.056025222793e+10       1.417042459739e+04       1.451618412669e-04       1.383290067952e+12       2.741223082659e-03       2.498622536537e+20       2.291539756675e+15       1.249272125703e+16       3.404911261107e-08       1.728469337613e+20       4.227239716760e+20       5.635707952727e-06       1.999975518173e+00 
       9.693953228600e+07       8.043200198843e-14       4.781181149156e-03       2.027540555454e+10       1.417042456415e+04       1.461779738752e-04       1.373674343713e+12       2.760411443234e-03       2.429868493516e+20       2.244083353356e+15       1.223400455059e+16       3.404911261107e-08       1.680907429617e+20       4.110920704012e+20       5.714883039242e-06       1.999975346805e+00 
