# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.045e-05 to 8.48764 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       3.750551309848e-03      -8.572052297646e-01      -3.002297094801e+01      -3.004011919654e+01      -7.917172737342e-01      -2.999462768416e+01       5.561122061807e-01       5.561104746294e-01 
       3.870854126296e-03      -8.325502618884e-01      -3.187977707220e+01      -3.189867453011e+01      -7.706490686162e-01      -3.185015280869e+01       5.543770071033e-01       5.543765547617e-01 
       3.991645399134e-03      -7.958570017661e-01      -3.379334964795e+01      -3.381412164055e+01      -7.393440037320e-01      -3.376245032915e+01       5.526313722300e-01       5.526324610615e-01 
       4.112887702883e-03      -7.562738562752e-01      -3.576308394263e+01      -3.578586388134e+01      -7.067728435126e-01      -3.573093653659e+01       5.508767134837e-01       5.508791306012e-01 
       4.234547124897e-03      -7.239085675058e-01      -3.778835718153e+01      -3.781328958883e+01      -6.820151857065e-01      -3.775501315668e+01       5.491142401053e-01       5.491174142367e-01 
       4.356592899374e-03      -7.068579137479e-01      -3.986854773947e+01      -3.989578884726e+01      -6.715249950127e-01      -3.983408024984e+01       5.473451344133e-01       5.473483351890e-01 
       4.478997080815e-03      -7.088362079903e-01      -4.200302339978e+01      -4.203274353417e+01      -6.772376306062e-01      -4.196752280390e+01       5.455703311680e-01       5.455728882786e-01 
       4.601734253050e-03      -7.281215890300e-01      -4.419115118776e+01      -4.422353468399e+01      -6.960858238614e-01      -4.415471726467e+01       5.437906139360e-01       5.437920945988e-01 
       4.724781270161e-03      -7.581358932167e-01      -4.643229264396e+01      -4.646753787139e+01      -7.210613149646e-01      -4.639502804847e+01       5.420065750129e-01       5.420068757933e-01 
       4.848117025885e-03      -7.894667361432e-01      -4.872581039626e+01      -4.876412960972e+01      -7.434674773928e-01      -4.868781706204e+01       5.402187422436e-01       5.402180796216e-01 
       4.971722248393e-03      -8.127352408252e-01      -5.107107250195e+01      -5.111269030757e+01      -7.556565994071e-01      -5.103245099682e+01       5.384276567684e-01       5.384264698356e-01 
       5.095579317586e-03      -8.214088021395e-01      -5.346743977900e+01      -5.351259244713e+01      -7.533726653580e-01      -5.342829323734e+01       5.366337816811e-01       5.366325840230e-01 
       5.219672102396e-03      -8.137302061671e-01      -5.591428942438e+01      -5.596322264666e+01      -7.370035319721e-01      -5.587472855525e+01       5.348377539845e-01       5.348369811700e-01 
       5.343985815788e-03      -7.931720368677e-01      -5.841098341587e+01      -5.846395077349e+01      -7.113511156318e-01      -5.837113241384e+01       5.330400635503e-01       5.330399597522e-01 
       5.468506885453e-03      -7.672702391419e-01      -6.095690017207e+01      -6.101416180835e+01      -6.840052050451e-01      -6.091690076759e+01       5.312413416247e-01       5.312419136699e-01 
       5.593222838389e-03      -7.452283267198e-01      -6.355142933044e+01      -6.361325152230e+01      -6.628885761025e-01      -6.351144205713e+01       5.294422567330e-01       5.294433012657e-01 
       5.718122197776e-03      -7.350234769102e-01      -6.619393692894e+01      -6.626059164264e+01      -6.537379827389e-01      -6.615413840899e+01       5.276431860643e-01       5.276443745904e-01 
       5.843194390744e-03      -7.409068637391e-01      -6.888382036516e+01      -6.895558499714e+01      -6.583361924346e-01      -6.884439744292e+01       5.258446590881e-01       5.258456503645e-01 
       5.968429665788e-03      -7.620653559003e-01      -7.162046799081e+01      -7.169762802938e+01      -6.740309333873e-01      -7.158161294211e+01       5.240470264617e-01       5.240475708879e-01 
       6.093819018741e-03      -7.928491875457e-01      -7.440326091780e+01      -7.448611003041e+01      -6.946882714540e-01      -7.436516525293e+01       5.222504876274e-01       5.222504937908e-01 
       6.219354126332e-03      -8.244752424930e-01      -7.723159428200e+01      -7.732043481490e+01      -7.127269193212e-01      -7.719444556222e+01       5.204552774227e-01       5.204548251152e-01 
       6.345027286494e-03      -8.476823258349e-01      -8.010485957585e+01      -8.020000975390e+01      -7.215848629216e-01      -8.006884769258e+01       5.186616031818e-01       5.186609039533e-01 
       6.470831364649e-03      -8.554860748259e-01      -8.302244369303e+01      -8.312423279956e+01      -7.177935789474e-01      -8.298776063532e+01       5.168696033383e-01       5.168689252419e-01 
       6.596759745336e-03      -8.452257827140e-01      -8.598375388129e+01      -8.609252779097e+01      -7.020529522860e-01      -8.595060462448e+01       5.150795783259e-01       5.150791682055e-01 
       6.722806288582e-03      -8.192346990713e-01      -8.898819619442e+01      -8.910431795987e+01      -6.790540419984e-01      -8.895680592036e+01       5.132918172112e-01       5.132918169231e-01 
       6.848965290503e-03      -7.840056928087e-01      -9.203515742113e+01      -9.215900648819e+01      -6.557839702044e-01      -9.200577586743e+01       5.115064846942e-01       5.115069011749e-01 
       6.975231447686e-03      -7.481042915258e-01      -9.512404265440e+01      -9.525601550522e+01      -6.391318513603e-01      -9.509694636859e+01       5.097238317181e-01       5.097245490593e-01 
       7.101599824952e-03      -7.195298540374e-01      -9.825428562012e+01      -9.839479465205e+01      -6.336760766922e-01      -9.822977509475e+01       5.079442049656e-01       5.079450300466e-01 
       7.228065826131e-03      -7.033469541712e-01      -1.014252680628e+02      -1.015747404371e+02      -6.402536104456e-01      -1.014036620517e+02       5.061676094912e-01       5.061683367482e-01 
       7.354625167555e-03      -7.003352010683e-01      -1.046364186606e+02      -1.047952962285e+02      -6.557712016789e-01      -1.046180479756e+02       5.043942359722e-01       5.043947101966e-01 
       7.481273853967e-03      -7.070518320369e-01      -1.078872013267e+02      -1.080559353051e+02      -6.742876927549e-01      -1.078723989230e+02       5.026243548300e-01       5.026245132044e-01 
       7.608008156622e-03      -7.172356834956e-01      -1.111770193505e+02      -1.113560736913e+02      -6.890048131714e-01      -1.111661203023e+02       5.008579128859e-01       5.008577952497e-01 
       7.734824593334e-03      -7.240936031237e-01      -1.145053089772e+02      -1.146951545963e+02      -6.944991036692e-01      -1.144986459212e+02       4.990949723894e-01       4.990946991456e-01 
       7.861719910302e-03      -7.226717301187e-01      -1.178715076291e+02      -1.180726279771e+02      -6.884717095384e-01      -1.178694189335e+02       4.973356135106e-01       4.973353405448e-01 
       7.988691065514e-03      -7.115507619056e-01      -1.212750915213e+02      -1.214879746051e+02      -6.724359486504e-01      -1.212779198452e+02       4.955800475401e-01       4.955799138949e-01 
       8.115735213591e-03      -6.932979900159e-01      -1.247154572674e+02      -1.249406041706e+02      -6.511485100402e-01      -1.247235622708e+02       4.938281853644e-01       4.938282703578e-01 
       8.242849691924e-03      -6.735549756291e-01      -1.281920951257e+02      -1.284300164713e+02      -6.309935984719e-01      -1.282058539878e+02       4.920803019678e-01       4.920806042634e-01 
       8.370032007988e-03      -6.590436729769e-01      -1.317044254459e+02      -1.319556454684e+02      -6.178500072408e-01      -1.317242370386e+02       4.903363871427e-01       4.903368307922e-01 
       8.497279827711e-03      -6.551858122667e-01      -1.352519698960e+02      -1.355170213959e+02      -6.151750436746e-01      -1.352782477972e+02       4.885967640910e-01       4.885972276171e-01 
       8.624590964808e-03      -6.641071515792e-01      -1.388341110490e+02      -1.391135437763e+02      -6.229037090537e-01      -1.388672858525e+02       4.868612288558e-01       4.868615868848e-01 
       8.751963370988e-03      -6.837153858172e-01      -1.424503480531e+02      -1.427447303082e+02      -6.375386544171e-01      -1.424908628339e+02       4.851299706116e-01       4.851301341248e-01 
       8.879395126956e-03      -7.081855483252e-01      -1.461001233002e+02      -1.464100416856e+02      -6.533684814714e-01      -1.461484289232e+02       4.834029409719e-01       4.834028836504e-01 
       9.006884434132e-03      -7.296980783146e-01      -1.497829179151e+02      -1.501089721284e+02      -6.643924100874e-01      -1.498394666805e+02       4.816801872312e-01       4.816799506268e-01 
       9.134429607028e-03      -7.408755419866e-01      -1.534981440502e+02      -1.538409559087e+02      -6.663031429742e-01      -1.535633988151e+02       4.799615535074e-01       4.799612307970e-01 
       9.262029066230e-03      -7.373412751366e-01      -1.572454299689e+02      -1.576056363790e+02      -6.579424678473e-01      -1.573198623692e+02       4.782475321030e-01       4.782472356817e-01 
       9.389681331919e-03      -7.186499091123e-01      -1.610240804669e+02      -1.614023365789e+02      -6.413666468895e-01      -1.611081794435e+02       4.765376522787e-01       4.765374810903e-01 
       9.517385017893e-03      -6.907280681979e-01      -1.648336996597e+02      -1.652306796036e+02      -6.222147733887e-01      -1.649279791615e+02       4.748322463495e-01       4.748322437263e-01 
       9.645138826050e-03      -6.560424046996e-01      -1.686735129667e+02      -1.690898932357e+02      -6.031575755614e-01      -1.687784941030e+02       4.731309662815e-01       4.731311595330e-01 
       9.772941541283e-03      -6.468647271339e-01      -1.725442860309e+02      -1.729807721891e+02      -6.035040215926e-01      -1.726605522800e+02       4.714358413626e-01       4.714360150464e-01 
       9.900792026762e-03      -6.659659181152e-01      -1.764458214090e+02      -1.769031143696e+02      -6.184842812128e-01      -1.765739530860e+02       4.697480079910e-01       4.697479729830e-01 
       1.002868921957e-02      -6.599770697756e-01      -1.803738441063e+02      -1.808526761998e+02      -6.136669612947e-01      -1.805143864776e+02       4.680603441587e-01       4.680603416858e-01 
       1.015663212664e-02      -6.573321212520e-01      -1.843300226359e+02      -1.848311173290e+02      -6.112190548524e-01      -1.844835494457e+02       4.663763819700e-01       4.663763824871e-01 
       1.028461982104e-02      -6.550085193443e-01      -1.883140683437e+02      -1.888381741932e+02      -6.090506656246e-01      -1.884811710230e+02       4.646968991223e-01       4.646968991223e-01 
       1.041265143846e-02      -6.526438603146e-01      -1.923256535105e+02      -1.928735075285e+02      -6.068515586223e-01      -1.925069136850e+02       4.630222949055e-01       4.630222949055e-01 
       1.054072617402e-02      -6.502876462051e-01      -1.963642434759e+02      -1.969366117350e+02      -6.046604872439e-01      -1.965602681555e+02       4.613524745940e-01       4.613524745940e-01 
       1.066884327926e-02      -6.479386100400e-01      -2.004292489575e+02      -2.010269144900e+02      -6.024761725463e-01      -2.006406603300e+02       4.596871974173e-01       4.596871974173e-01 
       1.079700205935e-02      -6.455966181734e-01      -2.045202942078e+02      -2.051440366289e+02      -6.002984433519e-01      -2.047477121277e+02       4.580266752218e-01       4.580266752218e-01 
       1.092520187054e-02      -6.432611631143e-01      -2.086367662514e+02      -2.092873924184e+02      -5.981268155294e-01      -2.088808344653e+02       4.563706315335e-01       4.563706315335e-01 
       1.105344211774e-02      -6.409324342222e-01      -2.127782766486e+02      -2.134566039161e+02      -5.959614574520e-01      -2.130396483332e+02       4.547192547034e-01       4.547192547034e-01 
       1.118172225228e-02      -6.386102974065e-01      -2.169443056978e+02      -2.176511675541e+02      -5.938022457986e-01      -2.172236484098e+02       4.530724446803e-01       4.530724446803e-01 
       1.131004176988e-02      -6.362946315088e-01      -2.211343715020e+02      -2.218706210780e+02      -5.916490580981e-01      -2.214323700840e+02       4.514301855863e-01       4.514301855863e-01 
