# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       2.359245598051e-03      -2.533404616843e+00      -1.347844336620e+01      -1.348300712296e+01      -2.396724573535e+00      -8.079666435875e+00      -1.344808671236e+01       5.753514949855e-01       5.753186417750e-01 
       2.468567006640e-03      -2.507133424865e+00      -1.460836076042e+01      -1.461345890599e+01      -2.371384788446e+00      -8.510363455741e+00      -1.457425198646e+01       5.738097771441e-01       5.737808160167e-01 
       2.579303604901e-03      -2.463114571592e+00      -1.579989202622e+01      -1.580559416178e+01      -2.330743208582e+00      -8.952833347444e+00      -1.576179280003e+01       5.722352014203e-01       5.722104010049e-01 
       2.691329719073e-03      -2.410283574258e+00      -1.705292142118e+01      -1.705930768524e+01      -2.283963011724e+00      -9.406088306933e+00      -1.701060614032e+01       5.706307555039e-01       5.706096911044e-01 
       2.804530999458e-03      -2.359470905248e+00      -1.836723852888e+01      -1.837439711433e+01      -2.241606354521e+00      -9.868758508816e+00      -1.832049264967e+01       5.689994667214e-01       5.689812064165e-01 
       2.918803721038e-03      -2.320633844236e+00      -1.974255790053e+01      -1.975058418032e+01      -2.212845475950e+00      -1.033916120927e+01      -1.969117542203e+01       5.673440071352e-01       5.673273838773e-01 
       3.034054007417e-03      -2.300242152729e+00      -2.117853274869e+01      -2.118752810867e+01      -2.202992098215e+00      -1.081540166001e+01      -2.112231156602e+01       5.656670009549e-01       5.656509011343e-01 
       3.150197027005e-03      -2.299579807119e+00      -2.267477279173e+01      -2.268483768775e+01      -2.212074147420e+00      -1.129549926166e+01      -2.261350420227e+01       5.639705016849e-01       5.639541037293e-01 
       3.267156195714e-03      -2.314443221668e+00      -2.423079250125e+01      -2.424204335324e+01      -2.234876915165e+00      -1.177749573687e+01      -2.416427124718e+01       5.622556624842e-01       5.622385758267e-01 
       3.384862409045e-03      -2.336383045726e+00      -2.584615016942e+01      -2.585868988420e+01      -2.262477079978e+00      -1.225962400835e+01      -2.577414662514e+01       5.605247655177e-01       5.605070488558e-01 
       3.503253317780e-03      -2.355129971703e+00      -2.752033002356e+01      -2.753426760735e+01      -2.284824244586e+00      -1.274035794340e+01      -2.744260659321e+01       5.587793228155e-01       5.587613914077e-01 
       3.622272655202e-03      -2.361555663407e+00      -2.925277467414e+01      -2.926822281810e+01      -2.293639546171e+00      -1.321847350439e+01      -2.916908636311e+01       5.570201632520e-01       5.570026204654e-01 
       3.741869619321e-03      -2.350319642412e+00      -3.104292033519e+01      -3.105999704314e+01      -2.284788511823e+00      -1.369309148619e+01      -3.095302102034e+01       5.552489687214e-01       5.552324122180e-01 
       3.861998310469e-03      -2.321405872181e+00      -3.289020284621e+01      -3.290902238964e+01      -2.259403244728e+00      -1.416365055018e+01      -3.279384376000e+01       5.534671153407e-01       5.534519696460e-01 
       3.982617222655e-03      -2.280120443652e+00      -3.479405000016e+01      -3.481473639667e+01      -2.223443719742e+00      -1.462986812662e+01      -3.469099699403e+01       5.516764965551e-01       5.516629113259e-01 
       4.103688785824e-03      -2.235514978941e+00      -3.675375179719e+01      -3.677645529449e+01      -2.185817087355e+00      -1.509161001927e+01      -3.664380386889e+01       5.498768421234e-01       5.498646751411e-01 
       4.225178955423e-03      -2.197734334755e+00      -3.876884569942e+01      -3.879368687490e+01      -2.155669783447e+00      -1.554896472296e+01      -3.865178865966e+01       5.480715190099e-01       5.480603988220e-01 
       4.347056845410e-03      -2.175008090018e+00      -4.083856957927e+01      -4.086571522776e+01      -2.139605362422e+00      -1.600196910446e+01      -4.071423952298e+01       5.462598677042e-01       5.462493108700e-01 
