# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.200480538617e-03      -2.324205523214e+00      -1.855373636576e+01      -1.855702148038e+01      -2.277511495413e+00      -1.854224497670e+01       5.716781153089e-01       5.716824360356e-01 
       2.308577036999e-03      -2.287710171599e+00      -2.025236801130e+01      -2.025609266657e+01      -2.249741728533e+00      -2.023972755037e+01       5.702705207864e-01       5.702752180704e-01 
       2.418329743136e-03      -2.279274522782e+00      -2.205295392255e+01      -2.205717997731e+01      -2.249091233042e+00      -2.203915140406e+01       5.688273276774e-01       5.688309902944e-01 
       2.529590882590e-03      -2.296601462938e+00      -2.395562507718e+01      -2.396041723722e+01      -2.271960200225e+00      -2.394064731971e+01       5.673509726191e-01       5.673528262337e-01 
       2.642225252598e-03      -2.327086863210e+00      -2.596024898273e+01      -2.596568906771e+01      -2.305046799867e+00      -2.594408605397e+01       5.658428917629e-01       5.658429569470e-01 
       2.756109736919e-03      -2.353079846133e+00      -2.806666008850e+01      -2.807281532590e+01      -2.330944241742e+00      -2.804927447359e+01       5.643062534479e-01       5.643051954044e-01 
       2.871132628056e-03      -2.359457576652e+00      -3.027443572782e+01      -3.028138239720e+01      -2.335661307744e+00      -3.025578505496e+01       5.627432805338e-01       5.627420436828e-01 
       2.987192838671e-03      -2.340308670723e+00      -3.258299349030e+01      -3.259082448911e+01      -2.314799149648e+00      -3.256304528207e+01       5.611544296644e-01       5.611538217502e-01 
       3.104199062840e-03      -2.301601333860e+00      -3.499183788843e+01      -3.500062707161e+01      -2.275478305515e+00      -3.497054967882e+01       5.595438634602e-01       5.595442560926e-01 
       3.222068930369e-03      -2.258458495055e+00      -3.750021312580e+01      -3.751004801236e+01      -2.232980203580e+00      -3.747756798182e+01       5.579129891895e-01       5.579142376699e-01 
