# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE               BB               phiphi           Tphi             Ephi             
 128 4.9337382746e-10 1.4654626014e-13 -5.4252973442e-12 7.3278642151e-16 5.5850400244e-12 8.9772690786e-13 -5.1938444064e-15
 129 4.9817375444e-10 1.4735266768e-13 -5.4897278599e-12 7.4480001709e-16 5.4663800866e-12 8.8277646316e-13 -5.1268189473e-15
 130 5.0297611335e-10 1.4809659864e-13 -5.5521968628e-12 7.5693459040e-16 5.3509188508e-12 8.6828819659e-13 -5.0589909931e-15
 131 5.0777969273e-10 1.4877729600e-13 -5.6126346349e-12 7.6919102618e-16 5.2385630571e-12 8.5420269725e-13 -4.9910175018e-15
 132 5.1258320762e-10 1.4939406731e-13 -5.6709726010e-12 7.8157021162e-16 5.1292126129e-12 8.4042876875e-13 -4.9236264942e-15
 133 5.1738533328e-10 1.4994629831e-13 -5.7271436822e-12 7.9407303585e-16 5.0227588004e-12 8.2688891650e-13 -4.8572975455e-15
 134 5.2218483329e-10 1.5043350996e-13 -5.7810855389e-12 8.0670036450e-16 4.9191184254e-12 8.1358488112e-13 -4.7913642879e-15
 135 5.2698044142e-10 1.5085531048e-13 -5.8327377411e-12 8.1945306237e-16 4.8182024075e-12 8.0053882653e-13 -4.7248171886e-15
 136 5.3177085070e-10 1.5121134386e-13 -5.8820350725e-12 8.3233199296e-16 4.7199142333e-12 7.8777474393e-13 -4.6569714243e-15
 137 5.3655480871e-10 1.5150117911e-13 -5.9288896772e-12 8.4533799226e-16 4.6241795724e-12 7.7532417959e-13 -4.5886809805e-15
 138 5.4133102906e-10 1.5172441262e-13 -5.9732071231e-12 8.5847189209e-16 4.5309189884e-12 7.6322108482e-13 -4.5212493095e-15
 139 5.4609819689e-10 1.5188086642e-13 -6.0149197370e-12 8.7173451957e-16 4.4400465948e-12 7.5147795877e-13 -4.4555698083e-15
 140 5.5085508290e-10 1.5197109394e-13 -6.0540730783e-12 8.8512667051e-16 4.3514957278e-12 7.4001709810e-13 -4.3906246736e-15
 141 5.5560043821e-10 1.5199592888e-13 -6.0907483389e-12 8.9864913307e-16 4.2651952480e-12 7.2873230039e-13 -4.3248345667e-15
 142 5.6033296763e-10 1.5195601331e-13 -6.1249741354e-12 9.1230268737e-16 4.1810684570e-12 7.1754582669e-13 -4.2570022774e-15
 143 5.6505136135e-10 1.5185081308e-13 -6.1565355197e-12 9.2608807874e-16 4.0990556062e-12 7.0651925319e-13 -4.1877951571e-15
 144 5.6975426409e-10 1.5167950823e-13 -6.1851461273e-12 9.4000604145e-16 4.0190930875e-12 6.9575349123e-13 -4.1184082766e-15
 145 5.7444028473e-10 1.5144162717e-13 -6.2105727928e-12 9.5405729808e-16 3.9411124292e-12 6.8532456869e-13 -4.0498936090e-15
 146 5.7910806053e-10 1.5113805921e-13 -6.2328378449e-12 9.6824253220e-16 3.8650598534e-12 6.7519154299e-13 -3.9825129166e-15
 147 5.8375619700e-10 1.5077014274e-13 -6.2520363581e-12 9.8256241257e-16 3.7908781640e-12 6.6527967087e-13 -3.9163233070e-15
 148 5.8838327279e-10 1.5033919944e-13 -6.2682402340e-12 9.9701759280e-16 3.7185059399e-12 6.5552288811e-13 -3.8513140519e-15
 149 5.9298792089e-10 1.4984606484e-13 -6.2813965070e-12 1.0116086845e-15 3.6478947359e-12 6.4590645627e-13 -3.7872019205e-15
 150 5.9756875328e-10 1.4929151711e-13 -6.2914195773e-12 1.0263362808e-15 3.5789931306e-12 6.3642825162e-13 -3.7236159679e-15
 151 6.0212436321e-10 1.4867645630e-13 -6.2982313023e-12 1.0412009565e-15 3.5117460548e-12 6.2709462240e-13 -3.6601366370e-15
 152 6.0665341425e-10 1.4800199893e-13 -6.3017864250e-12 1.0562032404e-15 3.4461100347e-12 6.1794912756e-13 -3.5962191360e-15
 153 6.1115455795e-10 1.4726939541e-13 -6.3020495569e-12 1.0713436396e-15 3.3820390380e-12 6.0904648122e-13 -3.5312619913e-15
 154 6.1562644305e-10 1.4648000219e-13 -6.2989860161e-12 1.0866226395e-15 3.3194836074e-12 6.0042130125e-13 -3.4648992764e-15
 155 6.2006783324e-10 1.4563528214e-13 -6.2925580342e-12 1.1020406791e-15 3.2584035183e-12 5.9201902900e-13 -3.3978346949e-15
 156 6.2447749890e-10 1.4473680754e-13 -6.2827282856e-12 1.1175981728e-15 3.1987559923e-12 5.8375865791e-13 -3.3310838147e-15
 157 6.2885414979e-10 1.4378624785e-13 -6.2694609872e-12 1.1332955081e-15 3.1404960170e-12 5.7557318031e-13 -3.2654941170e-15
 158 6.3319634303e-10 1.4278532656e-13 -6.2527214839e-12 1.1491330166e-15 3.0835901096e-12 5.6746793201e-13 -3.2010672227e-15
 159 6.3750256564e-10 1.4173586371e-13 -6.2324767018e-12 1.1651109994e-15 3.0280035427e-12 5.5946740395e-13 -3.1375764655e-15
