# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000,
# i.e. number of multipoles equal to 3999
#  l TT               EE               TE               BB               phiphi           Tphi             
  53 1.9586100280e-10 1.8652645224e-14 -1.9851959929e-14 0.0000000000e+00 4.9105375740e-11 -5.6265269860e-12
  54 1.9873509142e-10 1.9790632486e-14 -5.0061165078e-14 0.0000000000e+00 4.7138005540e-11 -5.4215402050e-12
  55 2.0163583087e-10 2.0968199980e-14 -8.1974729510e-14 0.0000000000e+00 4.5274248582e-11 -5.2269277760e-12
  56 2.0456306924e-10 2.2185168871e-14 -1.1564499067e-13 0.0000000000e+00 4.3507244321e-11 -5.0420918899e-12
  57 2.0751789277e-10 2.3441305901e-14 -1.5109231842e-13 0.0000000000e+00 4.1830682690e-11 -4.8666215017e-12
  58 2.1050002929e-10 2.4736353759e-14 -1.8834377395e-13 0.0000000000e+00 4.0238752227e-11 -4.6998027649e-12
  59 2.1351033963e-10 2.6070039397e-14 -2.2741856100e-13 0.0000000000e+00 3.8726097114e-11 -4.5407309676e-12
  60 2.1654871528e-10 2.7442062224e-14 -2.6830780030e-13 0.0000000000e+00 3.7287767777e-11 -4.3890503302e-12
  61 2.1961602485e-10 2.8852101138e-14 -3.1105485372e-13 0.0000000000e+00 3.5919193385e-11 -4.2446598746e-12
  62 2.2271231464e-10 3.0299758228e-14 -3.5558267993e-13 0.0000000000e+00 3.4616140939e-11 -4.1070101990e-12
  63 2.2583784217e-10 3.1784616308e-14 -4.0192290973e-13 0.0000000000e+00 3.3374687532e-11 -3.9754523078e-12
  64 2.2899316689e-10 3.3306156871e-14 -4.5003375544e-13 0.0000000000e+00 3.2191199478e-11 -3.8497017801e-12
  65 2.3217823443e-10 3.4863791505e-14 -4.9989362301e-13 0.0000000000e+00 3.1062295151e-11 -3.7295964165e-12
  66 2.3539387702e-10 3.6456832615e-14 -5.5146373717e-13 0.0000000000e+00 2.9984836557e-11 -3.6150005625e-12
  67 2.3863968626e-10 3.8084563007e-14 -6.0475518020e-13 0.0000000000e+00 2.8955901958e-11 -3.5054083997e-12
  68 2.4191671921e-10 3.9746160515e-14 -6.5973430723e-13 0.0000000000e+00 2.7972769613e-11 -3.4002366220e-12
  69 2.4522436018e-10 4.1440694417e-14 -7.1636415579e-13 0.0000000000e+00 2.7032902329e-11 -3.2995486419e-12
  70 2.4856388400e-10 4.3167266910e-14 -7.7467824945e-13 0.0000000000e+00 2.6133933566e-11 -3.2033400108e-12
  71 2.5193472712e-10 4.4924887246e-14 -8.3463379732e-13 0.0000000000e+00 2.5273650716e-11 -3.1111397509e-12
  72 2.5533756458e-10 4.6712462205e-14 -8.9621521361e-13 0.0000000000e+00 2.4449986787e-11 -3.0225119061e-12
  73 2.5877248046e-10 4.8528960394e-14 -9.5940170376e-13 0.0000000000e+00 2.3661008267e-11 -2.9372969338e-12
  74 2.6223962542e-10 5.0373161678e-14 -1.0241487299e-12 0.0000000000e+00 2.2904903829e-11 -2.8556912924e-12
  75 2.6573953056e-10 5.2243972431e-14 -1.0904640867e-12 0.0000000000e+00 2.2179976589e-11 -2.7774535134e-12
  76 2.6927161835e-10 5.4140118693e-14 -1.1582907954e-12 0.0000000000e+00 2.1484633880e-11 -2.7021273600e-12
  77 2.7283700184e-10 5.6060337994e-14 -1.2275948438e-12 0.0000000000e+00 2.0817381822e-11 -2.6295055129e-12
  78 2.7643499802e-10 5.8003264393e-14 -1.2983198112e-12 0.0000000000e+00 2.0176784611e-11 -2.5597247549e-12
  79 2.8006574076e-10 5.9967527452e-14 -1.3704280311e-12 0.0000000000e+00 1.9561620947e-11 -2.4926918498e-12
  80 2.8372954312e-10 6.1951712624e-14 -1.4438871151e-12 0.0000000000e+00 1.8970535012e-11 -2.4281974171e-12
  81 2.8742646756e-10 6.3954325202e-14 -1.5186566109e-12 0.0000000000e+00 1.8402441096e-11 -2.3660268407e-12
  82 2.9115639349e-10 6.5973809795e-14 -1.5946909271e-12 0.0000000000e+00 1.7856172637e-11 -2.3060007332e-12
  83 2.9491939203e-10 6.8008580340e-14 -1.6719360954e-12 0.0000000000e+00 1.7330761369e-11 -2.2482069540e-12
  84 2.9871543829e-10 7.0057008803e-14 -1.7503389653e-12 0.0000000000e+00 1.6825162336e-11 -2.1927009904e-12
  85 3.0254448746e-10 7.2117452837e-14 -1.8298652017e-12 0.0000000000e+00 1.6338512875e-11 -2.1391350243e-12
  86 3.0640638843e-10 7.4188226532e-14 -1.9104790271e-12 0.0000000000e+00 1.5869886398e-11 -2.0871542660e-12
  87 3.1030114017e-10 7.6267593543e-14 -1.9921179355e-12 0.0000000000e+00 1.5418511393e-11 -2.0369605689e-12
  88 3.1422864179e-10 7.8353780860e-14 -2.0747166959e-12 0.0000000000e+00 1.4983560453e-11 -1.9887753340e-12
