# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000,
# i.e. number of multipoles equal to 2999
#  l TT               EE               TE               BB               phiphi           Tphi             
  54 1.9890621207e-10 1.9915525491e-14 -5.0473994704e-14 1.2829158414e-16 4.7138005540e-11 -5.4215402050e-12
  55 2.0181193174e-10 2.1097494228e-14 -8.2400792660e-14 1.3310505435e-16 4.5274248582e-11 -5.2269277760e-12
  56 2.0474417195e-10 2.2318915892e-14 -1.1608348984e-13 1.3800741438e-16 4.3507244321e-11 -5.0420918899e-12
  57 2.0770401545e-10 2.3579555043e-14 -1.5154232385e-13 1.4299859186e-16 4.1830682690e-11 -4.8666215017e-12
  58 2.1069118763e-10 2.4879152129e-14 -1.8880420987e-13 1.4807851568e-16 4.0238752227e-11 -4.6998027649e-12
  59 2.1370654585e-10 2.6217431794e-14 -2.2788820409e-13 1.5324711700e-16 3.8726097114e-11 -4.5407309676e-12
  60 2.1674997889e-10 2.7594091083e-14 -2.6878529742e-13 1.5850432996e-16 3.7287767777e-11 -4.3890503302e-12
  61 2.1982235168e-10 2.9008806466e-14 -3.1153866642e-13 1.6385009274e-16 3.5919193385e-11 -4.2446598746e-12
  62 2.2292370754e-10 3.0461177602e-14 -3.5607119500e-13 1.6928434827e-16 3.4616140939e-11 -4.1070101990e-12
  63 2.2605430068e-10 3.1950784820e-14 -4.0241432882e-13 1.7480704534e-16 3.3374687532e-11 -3.9754523078e-12
  64 2.2921468690e-10 3.3477107167e-14 -4.5052616308e-13 1.8041813925e-16 3.2191199478e-11 -3.8497017801e-12
  65 2.3240480869e-10 3.5039553797e-14 -5.0038496412e-13 1.8611759292e-16 3.1062295151e-11 -3.7295964165e-12
  66 2.3562549411e-10 3.6637434747e-14 -5.5195183170e-13 1.9190537751e-16 2.9984836557e-11 -3.6150005625e-12
  67 2.3887633185e-10 3.8270030444e-14 -6.0523766182e-13 1.9778147355e-16 2.8955901958e-11 -3.5054083997e-12
  68 2.4215837432e-10 3.9936516435e-14 -6.6020866977e-13 2.0374587143e-16 2.7972769613e-11 -3.4002366220e-12
  69 2.4547100300e-10 4.1635959825e-14 -7.1682775417e-13 2.0979857260e-16 2.7032902329e-11 -3.2995486419e-12
  70 2.4881548755e-10 4.3367460582e-14 -7.7512820535e-13 2.1593958990e-16 2.6133933566e-11 -3.2033400108e-12
  71 2.5219126135e-10 4.5130025840e-14 -8.3506708843e-13 2.2216894884e-16 2.5273650716e-11 -3.1111397509e-12
  72 2.5559899477e-10 4.6922560405e-14 -8.9662863574e-13 2.2848668778e-16 2.4449986787e-11 -3.0225119061e-12
  73 2.5903876781e-10 4.8744030831e-14 -9.5979187242e-13 2.3489285923e-16 2.3661008267e-11 -2.9372969338e-12
  74 2.6251072690e-10 5.0593215220e-14 -1.0245121089e-12 2.4138752994e-16 2.2904903829e-11 -2.8556912924e-12
  75 2.6601539822e-10 5.2469018026e-14 -1.0907969090e-12 2.4797078222e-16 2.2179976589e-11 -2.7774535134e-12
  76 2.6955220085e-10 5.4370163664e-14 -1.1585891525e-12 2.5464271386e-16 2.1484633880e-11 -2.7021273600e-12
  77 2.7312224180e-10 5.6295388077e-14 -1.2278546518e-12 2.6140343954e-16 2.0817381822e-11 -2.6295055129e-12
  78 2.7672483461e-10 5.8243323951e-14 -1.2985368433e-12 2.6825309053e-16 2.0176784611e-11 -2.5597247549e-12
  79 2.8036010847e-10 6.0212599568e-14 -1.3705978861e-12 2.7519181631e-16 1.9561620947e-11 -2.4926918498e-12
  80 2.8402837117e-10 6.2201799222e-14 -1.4440052055e-12 2.8221978378e-16 1.8970535012e-11 -2.4281974171e-12
  81 2.8772968035e-10 6.4209427308e-14 -1.5187181742e-12 2.8933717906e-16 1.8402441096e-11 -2.3660268407e-12
  82 2.9146391064e-10 6.6233927718e-14 -1.5946910319e-12 2.9654420687e-16 1.7856172637e-11 -2.3060007332e-12
  83 2.9523112809e-10 6.8273713881e-14 -1.6718696579e-12 3.0384109175e-16 1.7330761369e-11 -2.2482069540e-12
  84 2.9903130265e-10 7.0327157428e-14 -1.7502007458e-12 3.1122807779e-16 1.6825162336e-11 -2.1927009904e-12
  85 3.0286438443e-10 7.2392615880e-14 -1.8296497670e-12 3.1870542939e-16 1.6338512875e-11 -2.1391350243e-12
  86 3.0673021718e-10 7.4468403399e-14 -1.9101807521e-12 3.2627343139e-16 1.5869886398e-11 -2.0871542660e-12
  87 3.1062879445e-10 7.6552784014e-14 -1.9917310564e-12 3.3393238923e-16 1.5418511393e-11 -2.0369605689e-12
  88 3.1456000990e-10 7.8643985311e-14 -2.0742353141e-12 3.4168262949e-16 1.4983560453e-11 -1.9887753340e-12
  89 3.1852367995e-10 8.0740252990e-14 -2.1576533362e-12 3.4952449955e-16 1.4564342471e-11 -1.9422664626e-12
  90 3.2251950683e-10 8.2839797087e-14 -2.2419432818e-12 3.5745836844e-16 1.4160118171e-11 -1.8970532808e-12
  91 3.2654730445e-10 8.4940755214e-14 -2.3270284217e-12 3.6548462600e-16 1.3770267204e-11 -1.8532888297e-12
  92 3.3060680722e-10 8.7041233967e-14 -2.4128297434e-12 3.7360368412e-16 1.3394127255e-11 -1.8111759729e-12
  93 3.3469774714e-10 8.9139393113e-14 -2.4993056045e-12 3.8181597533e-16 1.3031139990e-11 -1.7705203833e-12
  94 3.3881975133e-10 9.1233366551e-14 -2.5864138472e-12 3.9012195445e-16 1.2680710516e-11 -1.7310612659e-12
  95 3.4297244481e-10 9.3321199153e-14 -2.6740674978e-12 3.9852209658e-16 1.2342335682e-11 -1.6927786617e-12
  96 3.4715538654e-10 9.5400917868e-14 -2.7621793045e-12 4.0701689923e-16 1.2015480475e-11 -1.6557096061e-12
  97 3.5136827677e-10 9.7470661202e-14 -2.8507191986e-12 4.1560687965e-16 1.1699690531e-11 -1.6198837589e-12
  98 3.5561073326e-10 9.9528538968e-14 -2.9396519770e-12 4.2429257745e-16 1.1394483538e-11 -1.5852785150e-12
  99 3.5988223704e-10 1.0157247044e-13 -3.0288531848e-12 4.3307455132e-16 1.1099448365e-11 -1.5516801464e-12
 100 3.6418219266e-10 1.0360041370e-13 -3.1182082597e-12 4.4195338205e-16 1.0814149346e-11 -1.5189021081e-12
 101 3.6851021350e-10 1.0561078423e-13 -3.2077571162e-12 4.5092966872e-16 1.0538213843e-11 -1.4871430827e-12
 102 3.7286584954e-10 1.0760178560e-13 -3.2975038474e-12 4.6000403212e-16 1.0271247667e-11 -1.4565908428e-12
 103 3.7724847210e-10 1.0957021331e-13 -3.3871141560e-12 4.6917711036e-16 1.0012912638e-11 -1.4269381759e-12
 104 3.8165737222e-10 1.1151370147e-13 -3.4763925550e-12 4.7844956277e-16 9.7628515564e-12 -1.3978635766e-12
 105 3.8609204136e-10 1.1343518988e-13 -3.5661454378e-12 4.8782206494e-16 9.5207568064e-12 -1.3696088992e-12
 106 3.9055191070e-10 1.1533665022e-13 -3.6570142629e-12 4.9729531323e-16 9.2863039632e-12 -1.3424487700e-12
 107 3.9503622369e-10 1.1720934903e-13 -3.7476964068e-12 5.0687002009e-16 9.0592129880e-12 -1.3161365900e-12
 108 3.9954413426e-10 1.1904397560e-13 -3.8367810424e-12 5.1654691774e-16 8.8391889972e-12 -1.2903685508e-12
 109 4.0407493736e-10 1.2084190906e-13 -3.9247817211e-12 5.2632675091e-16 8.6259765906e-12 -1.2652388427e-12
 110 4.0862789699e-10 1.2260626719e-13 -4.0125231105e-12 5.3621028275e-16 8.4193071715e-12 -1.2409037434e-12
 111 4.1320226158e-10 1.2433491313e-13 -4.0998762521e-12 5.4619828814e-16 8.2189474644e-12 -1.2173282216e-12
 112 4.1779720971e-10 1.2602465616e-13 -4.1865190294e-12 5.5629155951e-16 8.0246524100e-12 -1.1944149508e-12
 113 4.2241190414e-10 1.2767384718e-13 -4.2724030815e-12 5.6649089954e-16 7.8362083355e-12 -1.1720375446e-12
 114 4.2704546712e-10 1.2928119156e-13 -4.3575354550e-12 5.7679712708e-16 7.6533914011e-12 -1.1501172625e-12
 115 4.3169711977e-10 1.3084511276e-13 -4.4418450747e-12 5.8721106897e-16 7.4760076012e-12 -1.1288321873e-12
 116 4.3636603144e-10 1.3236399553e-13 -4.5252399702e-12 5.9773356718e-16 7.3038526689e-12 -1.1083414851e-12
 117 4.4105126923e-10 1.3383633488e-13 -4.6076291566e-12 6.0836547187e-16 7.1367421060e-12 -1.0884229391e-12
 118 4.4575183285e-10 1.3526066285e-13 -4.6889242537e-12 6.1910764591e-16 6.9744855176e-12 -1.0688170703e-12
 119 4.5046678305e-10 1.3663549038e-13 -4.7690496970e-12 6.2996095183e-16 6.8169326000e-12 -1.0495724138e-12
 120 4.5519512109e-10 1.3795934171e-13 -4.8479331913e-12 6.4092626678e-16 6.6639168150e-12 -1.0308217525e-12
 121 4.5993577723e-10 1.3923075347e-13 -4.9255006963e-12 6.5200448106e-16 6.5152560705e-12 -1.0126680442e-12
 122 4.6468770967e-10 1.4044823293e-13 -5.0016711309e-12 6.6319647680e-16 6.3708174938e-12 -9.9507180174e-13
 123 4.6944981170e-10 1.4161029715e-13 -5.0763611095e-12 6.7450314718e-16 6.2304583967e-12 -9.7795069766e-13
 124 4.7422092630e-10 1.4271554110e-13 -5.1494914209e-12 6.8592539613e-16 6.0940221994e-12 -9.6122625480e-13
 125 4.7899999633e-10 1.4376280682e-13 -5.2210021155e-12 6.9746411625e-16 5.9613909564e-12 -9.4486142274e-13
 126 4.8378592648e-10 1.4475103572e-13 -5.2908391811e-12 7.0912020870e-16 5.8324373080e-12 -9.2882694404e-13
 127 4.8857757729e-10 1.4567924748e-13 -5.3589458070e-12 7.2089458255e-16 5.7070222211e-12 -9.1310541959e-13
 128 4.9337389891e-10 1.4654663329e-13 -5.4252495281e-12 7.3278813130e-16 5.5850409741e-12 -8.9774075326e-13
 129 4.9817380797e-10 1.4735247594e-13 -5.4896737476e-12 7.4480175394e-16 5.4663810271e-12 -8.8279405519e-13
 130 5.0297614924e-10 1.4809608110e-13 -5.5521424529e-12 7.5693635453e-16 5.3509197823e-12 -8.6830445403e-13
 131 5.0777971226e-10 1.4877664799e-13 -5.6125823908e-12 7.6919281773e-16 5.2385639796e-12 -8.5421462574e-13
 132 5.1258321279e-10 1.4939338786e-13 -5.6709211785e-12 7.8157203067e-16 5.1292135265e-12 -8.4043715466e-13
 133 5.1738532677e-10 1.4994560104e-13 -5.7270894541e-12 7.9407488244e-16 5.0227597052e-12 -8.2689745338e-13
 134 5.2218481817e-10 1.5043278724e-13 -5.7810296070e-12 8.0670223861e-16 4.9191193214e-12 -8.1359584038e-13
 135 5.2698042114e-10 1.5085454978e-13 -5.8326880394e-12 8.1945496400e-16 4.8182032949e-12 -8.0055182253e-13
 136 5.3177082883e-10 1.5121054531e-13 -5.8820042311e-12 8.3233392206e-16 4.7199151121e-12 -7.8778728727e-13
 137 5.3655478805e-10 1.5150042882e-13 -5.9288849789e-12 8.4533994882e-16 4.6241804429e-12 -7.7533445732e-13
 138 5.4133101134e-10 1.5172390605e-13 -5.9732275533e-12 8.5847387612e-16 4.5309198507e-12 -7.6322874118e-13
 139 5.4609818315e-10 1.5188085396e-13 -6.0149572374e-12 8.7173653110e-16 4.4400474489e-12 -7.5148388688e-13
 140 5.5085507535e-10 1.5197163766e-13 -6.0541192373e-12 8.8512870968e-16 4.3514965737e-12 -7.4002231045e-13
 141 5.5560044080e-10 1.5199682894e-13 -6.0907961851e-12 8.9865120013e-16 4.2651960860e-12 -7.2873762915e-13
 142 5.6033298502e-10 1.5195688379e-13 -6.1250183423e-12 9.1230478264e-16 4.1810692870e-12 -7.1755182085e-13
 143 5.6505139465e-10 1.5185144026e-13 -6.1565729435e-12 9.2609020258e-16 4.0990564283e-12 -7.0652579318e-13
 144 5.6975430953e-10 1.5167995428e-13 -6.1851760480e-12 9.4000819420e-16 4.0190939017e-12 -6.9575965730e-13
 145 5.7444033463e-10 1.5144215926e-13 -6.2105964225e-12 9.5405948007e-16 3.9411132355e-12 -6.8532892942e-13
 146 5.7910810830e-10 1.5113880964e-13 -6.2328558736e-12 9.6824474378e-16 3.8650606519e-12 -6.7519347809e-13
 147 5.8375623852e-10 1.5077101209e-13 -6.2520482731e-12 9.8256465412e-16 3.7908789551e-12 -6.6527976000e-13
 148 5.8838330641e-10 1.5033991249e-13 -6.2682445019e-12 9.9701986471e-16 3.7185067240e-12 -6.5552262110e-13
 149 5.9298794700e-10 1.4984643988e-13 -6.2813915257e-12 1.0116109871e-15 3.6478955135e-12 -6.4590683773e-13
 150 5.9756877430e-10 1.4929154199e-13 -6.2914039300e-12 1.0263386145e-15 3.5789939020e-12 -6.3642940672e-13
 151 6.0212438274e-10 1.4867625554e-13 -6.2982041336e-12 1.0412033213e-15 3.5117468202e-12 -6.2709592763e-13
 152 6.0665343325e-10 1.4800166977e-13 -6.3017489484e-12 1.0562056366e-15 3.4461107942e-12 -6.1794989781e-13
 153 6.1115457363e-10 1.4726896282e-13 -6.3020055382e-12 1.0713460674e-15 3.3820397918e-12 -6.0904615161e-13
 154 6.1562645052e-10 1.4647943837e-13 -6.2989411719e-12 1.0866250989e-15 3.3194843555e-12 -6.0041951610e-13
 155 6.2006783292e-10 1.4563459859e-13 -6.2925171568e-12 1.1020431701e-15 3.2584042609e-12 -5.9201598424e-13
 156 6.2447749868e-10 1.4473608121e-13 -6.2826944346e-12 1.1176006955e-15 3.1987567294e-12 -5.8375521379e-13
 157 6.2885416272e-10 1.4378560475e-13 -6.2694356299e-12 1.1332980625e-15 3.1404967486e-12 -5.7557066300e-13
 158 6.3319637642e-10 1.4278486432e-13 -6.2527053698e-12 1.1491356027e-15 3.0835908357e-12 -5.6746721560e-13
 159 6.3750261801e-10 1.4173562980e-13 -6.2324700673e-12 1.1651136172e-15 3.0280042634e-12 -5.5946864752e-13
 160 6.4177132323e-10 1.4063978082e-13 -6.2086978718e-12 1.1812323857e-15 2.9736965745e-12 -5.5159950170e-13
 161 6.4600097662e-10 1.3949931191e-13 -6.1813591013e-12 1.1974921556e-15 2.9206259449e-12 -5.4388070327e-13
 162 6.5019039573e-10 1.3831634541e-13 -6.1504274984e-12 1.2138931104e-15 2.8687629478e-12 -5.3631595110e-13
 163 6.5433847079e-10 1.3709312289e-13 -6.1158791601e-12 1.2304353974e-15 2.8180777895e-12 -5.2890413397e-13
 164 6.5844407468e-10 1.3583200328e-13 -6.0776921962e-12 1.2471191377e-15 2.7685358447e-12 -5.2164360447e-13
 165 6.6250602057e-10 1.3453544833e-13 -6.0358467016e-12 1.2639444164e-15 2.7201012127e-12 -5.1453220319e-13
 166 6.6652293110e-10 1.3320597387e-13 -5.9903245875e-12 1.2809112549e-15 2.6727479337e-12 -5.0756735742e-13
 167 6.7049335729e-10 1.3184619745e-13 -5.9411098139e-12 1.2980196352e-15 2.6264495623e-12 -5.0074596904e-13
 168 6.7441581913e-10 1.3045885583e-13 -5.8881884964e-12 1.3152695083e-15 2.5811755224e-12 -4.9406436855e-13
 169 6.7828888042e-10 1.2904679193e-13 -5.8315481270e-12 1.3326607857e-15 2.5368941982e-12 -4.8751682600e-13
 170 6.8211138126e-10 1.2761291107e-13 -5.7711750772e-12 1.3501933144e-15 2.4935826671e-12 -4.8109096688e-13
 171 6.8588222432e-10 1.2616022404e-13 -5.7070569609e-12 1.3678668986e-15 2.4512176387e-12 -4.7477194617e-13
 172 6.8960030118e-10 1.2469186297e-13 -5.6391834721e-12 1.3856813072e-15 2.4097722911e-12 -4.6854387388e-13
 173 6.9326447103e-10 1.2321108106e-13 -5.5675510216e-12 1.4036362661e-15 2.3692189130e-12 -4.6239263668e-13
 174 6.9687349521e-10 1.2172124865e-13 -5.4921769976e-12 1.4217314380e-15 2.3295372115e-12 -4.5631466032e-13
 175 7.0042609693e-10 1.2022585978e-13 -5.4130867571e-12 1.4399664398e-15 2.2907065646e-12 -4.5030883943e-13
 176 7.0392098167e-10 1.1872853541e-13 -5.3303091877e-12 1.4583408488e-15 2.2527033186e-12 -4.4437375736e-13
 177 7.0735688597e-10 1.1723293287e-13 -5.2438645144e-12 1.4768541971e-15 2.2155030650e-12 -4.3851008616e-13
 178 7.1073272862e-10 1.1574246279e-13 -5.1537265033e-12 1.4955059548e-15 2.1790877920e-12 -4.3272801643e-13
 179 7.1404747119e-10 1.1426055215e-13 -5.0598573027e-12 1.5142955441e-15 2.1434392050e-12 -4.2704041747e-13
 180 7.1730007014e-10 1.1279073547e-13 -4.9622194267e-12 1.5332223439e-15 2.1085363989e-12 -4.2146048799e-13
 181 7.2048947062e-10 1.1133668921e-13 -4.8607884314e-12 1.5522856855e-15 2.0743578289e-12 -4.1599860258e-13
 182 7.2361458772e-10 1.0990233543e-13 -4.7555920479e-12 1.5714848403e-15 2.0408874921e-12 -4.1065256599e-13
 183 7.2667432368e-10 1.0849174859e-13 -4.6466741675e-12 1.5908190303e-15 2.0081091452e-12 -4.0541659239e-13
 184 7.2966757365e-10 1.0710912434e-13 -4.5340825060e-12 1.6102874303e-15 1.9760042918e-12 -4.0028438417e-13
 185 7.3259325816e-10 1.0575872914e-13 -4.4178624027e-12 1.6298891660e-15 1.9445538819e-12 -3.9524877409e-13
 186 7.3545042311e-10 1.0444474203e-13 -4.2980375643e-12 1.6496233070e-15 1.9137436406e-12 -3.9030063831e-13
 187 7.3823814734e-10 1.0317140305e-13 -4.1746279331e-12 1.6694888716e-15 1.8835590762e-12 -3.8542988271e-13
 188 7.4095551092e-10 1.0194306496e-13 -4.0476558419e-12 1.6894848286e-15 1.8539837452e-12 -3.8062577509e-13
 189 7.4360159531e-10 1.0076415303e-13 -3.9171466573e-12 1.7096100960e-15 1.8250007449e-12 -3.7587804576e-13
 190 7.4617548395e-10 9.9639038709e-14 -3.7831306933e-12 1.7298635408e-15 1.7965973893e-12 -3.7118030264e-13
 191 7.4867626180e-10 9.8572158535e-14 -3.6456415072e-12 1.7502439783e-15 1.7687608235e-12 -3.6652685689e-13
 192 7.5110301519e-10 9.7568055497e-14 -3.5047153367e-12 1.7707501715e-15 1.7414765013e-12 -3.6191162992e-13
 193 7.5345486061e-10 9.6631349684e-14 -3.3603909532e-12 1.7913808319e-15 1.7147294306e-12 -3.5733170787e-13
 194 7.5573103332e-10 9.5766645728e-14 -3.2127091336e-12 1.8121346246e-15 1.6885080740e-12 -3.5279831210e-13
 195 7.5793080539e-10 9.4978620342e-14 -3.0617132164e-12 1.8330101625e-15 1.6628006840e-12 -3.4832663353e-13
 196 7.6005345765e-10 9.4272052922e-14 -2.9074493155e-12 1.8540060039e-15 1.6375940297e-12 -3.4393235083e-13
 197 7.6209828346e-10 9.3651747032e-14 -2.7499644986e-12 1.8751206569e-15 1.6128746651e-12 -3.3962757157e-13
 198 7.6406459984e-10 9.3122286693e-14 -2.5893011017e-12 1.8963525928e-15 1.5886328847e-12 -3.3540831480e-13
 199 7.6595173740e-10 9.2688264011e-14 -2.4255020666e-12 1.9177002320e-15 1.5648590092e-12 -3.3126612592e-13
 200 7.6775903689e-10 9.2354357588e-14 -2.2586127885e-12 1.9391619396e-15 1.5415420986e-12 -3.2719205193e-13
 201 7.6948584936e-10 9.2125333156e-14 -2.0886811446e-12 1.9607360239e-15 1.5186699324e-12 -3.2317663436e-13
 202 7.7113155091e-10 9.2006032783e-14 -1.9157585357e-12 1.9824207448e-15 1.4962302415e-12 -3.1921178275e-13
 203 7.7269558787e-10 9.2001340323e-14 -1.7399030312e-12 2.0042143384e-15 1.4742145456e-12 -3.1529655829e-13
 204 7.7417743510e-10 9.2116214725e-14 -1.5611765031e-12 2.0261149923e-15 1.4526145495e-12 -3.1143178810e-13
 205 7.7557658182e-10 9.2355701833e-14 -1.3796436660e-12 2.0481208378e-15 1.4314208981e-12 -3.0761822002e-13
 206 7.7689253180e-10 9.2724934981e-14 -1.1953721088e-12 2.0702299486e-15 1.4106231599e-12 -3.0385652106e-13
 207 7.7812481230e-10 9.3229003266e-14 -1.0084300539e-12 2.0924403521e-15 1.3902108315e-12 -3.0014709779e-13
 208 7.7927300127e-10 9.3872544923e-14 -8.1887939582e-13 2.1147500646e-15 1.3701764651e-12 -2.9648954719e-13
 209 7.8033670238e-10 9.4660126850e-14 -6.2678224064e-13 2.1371570577e-15 1.3505127257e-12 -2.9288316455e-13
 210 7.8131553661e-10 9.5596374628e-14 -4.3220316007e-13 2.1596592457e-15 1.3312113757e-12 -2.8932711605e-13
 211 7.8220914248e-10 9.6685972751e-14 -2.3520921715e-13 2.1822544855e-15 1.3122632607e-12 -2.8582043656e-13
 212 7.8301718221e-10 9.7933658422e-14 -3.5870328153e-14 2.2049405912e-15 1.2936591800e-12 -2.8236217050e-13
 213 7.8373936039e-10 9.9344201993e-14 1.6573967723e-13 2.2277153792e-15 1.2753925934e-12 -2.7895180916e-13
 214 7.8437540698e-10 1.0092242564e-13 3.6954399482e-13 2.2505766252e-15 1.2574570711e-12 -2.7558887897e-13
