# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k)
# k [1/Mpc]                P_scalar(k)                P_gwb(k)                   ad x gwb                   P_tensor(k)
2.590677858688006290e-06   3.210041583512466360e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.159368798797029384e-10
2.632815465648020122e-06   3.208094811837598229e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.152663388347403166e-10
2.675638444552045216e-06   3.206149220807857649e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.145968787838292294e-10
2.719157943036018971e-06   3.204204809707226744e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.139284979842753333e-10
2.763385290053172796e-06   3.202261577820121905e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.132611946961935453e-10
2.808331998823169590e-06   3.200319524431394621e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.125949671825040105e-10
2.854009769829237506e-06   3.198378648826327342e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.119298137089267249e-10
2.900430493863991580e-06   3.196438950290639682e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.112657325439780207e-10
2.947606255124858463e-06   3.194500428110480564e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.106027219589653957e-10
2.995549334359816181e-06   3.192563081572435660e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.099407802279833260e-10
3.044272212064299766e-06   3.190626909963520363e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.092799056279085614e-10
3.093787571730136731e-06   3.188691912571183924e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.086200964383956795e-10
3.144108303147264982e-06   3.186758088683307380e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.079613509418727424e-10
3.195247505759213607e-06   3.184825437588203557e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.073036674235369032e-10
3.247218492073132155e-06   3.182893958574616656e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.066470441713494936e-10
3.300034791125281949e-06   3.180963650931723079e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.059914794760321473e-10
3.353710152002928776e-06   3.179034513949129364e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.053369716310616815e-10
3.408258547423451806e-06   3.177106546916873007e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.046835189326664780e-10
3.463694177371734305e-06   3.175179749125422468e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.040311196798213132e-10
3.520031472796682339e-06   3.173254119865677167e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.033797721742433777e-10
3.577285099367869674e-06   3.171329658428965416e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.027294747203876227e-10
3.635469961293317715e-06   3.169406364107044836e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.020802256254423149e-10
3.694601205199302392e-06   3.167484236192104421e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.014320231993250029e-10
3.754694224073336996e-06   3.165563273976760403e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.007848657546776584e-10
3.815764661271252544e-06   3.163643476754060392e-09   1.000000000000000036e-10   0.000000000000000000e+00   4.001387516068625397e-10
3.877828414589453094e-06   3.161724843817478406e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.994936790739578495e-10
3.940901640403447568e-06   3.159807374460918186e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.988496464767529781e-10
4.005000757873611017e-06   3.157891067978710710e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.982066521387446263e-10
4.070142453219439079e-06   3.155975923665617090e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.975646943861322561e-10
4.136343684063277771e-06   3.154061940816823197e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.969237715478135407e-10
4.203621683844717862e-06   3.152149118727945034e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.962838819553802806e-10
4.271993966306776970e-06   3.150237456695023776e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.956450239431140609e-10
4.341478330055092524e-06   3.148326954014528250e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.950071958479813915e-10
4.412092863191190285e-06   3.146417609983354521e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.943703960096302435e-10
4.483855948021190477e-06   3.144509423898825068e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.937346227703851375e-10
4.556786265841068756e-06   3.142602395058686710e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.930998744752429045e-10
4.630902801799736631e-06   3.140696522761114335e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.924661494718685501e-10
4.706224849841281354e-06   3.138791806304707173e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.918334461105906531e-10
4.782772017727485049e-06   3.136888244988490867e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.912017627443974881e-10
4.860564232142138430e-06   3.134985838111914575e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.905710977289323726e-10
4.939621743878325620e-06   3.133084584974853455e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.899414494224895831e-10
5.019965133110079395e-06   3.131184484877608247e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.893128161860100120e-10
5.101615314749834077e-06   3.129285537120901554e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.886851963830768768e-10
5.184593543892912765e-06   3.127387741005882391e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.880585883799116359e-10
5.268921421350676888e-06   3.125491095834122050e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.874329905453694391e-10
5.354620899273612870e-06   3.123595600907616163e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.868084012509350432e-10
5.441714286865887343e-06   3.121701255528783056e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.861848188707188315e-10
5.530224256192899801e-06   3.119808059000464980e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.855622417814519023e-10
5.620173848083187948e-06   3.117916010625926052e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.849406683624825534e-10
5.711586478126434863e-06   3.116025109708853905e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.843200969957717323e-10
5.804485942768984057e-06   3.114135355553357618e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.837005260658887457e-10
5.898896425508492959e-06   3.112246747463968962e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.830819539600074335e-10
5.994842503189408736e-06   3.110359284745641155e-09   1.000000000000000036e-10   0.000000000000000000e+00   3.824643790679013092e-10
