#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
90	-2.30	7.2154e+01	1.0697e+01	1.8397e+02	5.0119e-03	3.6163e-01	5.3611e-02	9.2206e-01	1.3373e+00
90	-2.25	7.2294e+01	1.2016e+01	1.8534e+02	5.6234e-03	4.0654e-01	6.7569e-02	1.0422e+00	1.5163e+00
90	-2.20	7.1895e+01	1.3578e+01	1.8934e+02	6.3096e-03	4.5362e-01	8.5672e-02	1.1946e+00	1.7339e+00
90	-2.15	7.1897e+01	1.5189e+01	1.9543e+02	7.0795e-03	5.0899e-01	1.0753e-01	1.3835e+00	2.0000e+00
90	-2.10	7.2524e+01	1.6970e+01	1.9988e+02	7.9433e-03	5.7608e-01	1.3480e-01	1.5877e+00	2.2986e+00
90	-2.05	7.1134e+01	1.8465e+01	2.0862e+02	8.9125e-03	6.3398e-01	1.6457e-01	1.8593e+00	2.6579e+00
90	-2.00	7.0857e+01	2.0519e+01	2.1446e+02	1.0000e-02	7.0857e-01	2.0519e-01	2.1446e+00	3.0583e+00
90	-1.95	6.9943e+01	2.2360e+01	2.2036e+02	1.1220e-02	7.8477e-01	2.5089e-01	2.4725e+00	3.5081e+00
90	-1.90	6.9679e+01	2.4258e+01	2.2797e+02	1.2589e-02	8.7721e-01	3.0539e-01	2.8699e+00	4.0525e+00
90	-1.85	6.9436e+01	2.6659e+01	2.3397e+02	1.4125e-02	9.8081e-01	3.7656e-01	3.3050e+00	4.6623e+00
90	-1.80	6.8667e+01	2.8908e+01	2.3794e+02	1.5849e-02	1.0883e+00	4.5815e-01	3.7712e+00	5.3176e+00
90	-1.75	6.8326e+01	3.0776e+01	2.4441e+02	1.7783e-02	1.2150e+00	5.4728e-01	4.3463e+00	6.1086e+00
90	-1.70	6.7565e+01	3.2815e+01	2.4755e+02	1.9953e-02	1.3481e+00	6.5475e-01	4.9392e+00	6.9421e+00
90	-1.65	6.6376e+01	3.5189e+01	2.4927e+02	2.2387e-02	1.4860e+00	7.8778e-01	5.5805e+00	7.8543e+00
90	-1.60	6.6029e+01	3.7005e+01	2.5164e+02	2.5119e-02	1.6586e+00	9.2953e-01	6.3210e+00	8.9091e+00
90	-1.55	6.4366e+01	3.8976e+01	2.5098e+02	2.8184e-02	1.8141e+00	1.0985e+00	7.0735e+00	9.9861e+00
90	-1.50	6.3703e+01	4.0798e+01	2.5042e+02	3.1623e-02	2.0145e+00	1.2902e+00	7.9188e+00	1.1223e+01
90	-1.45	6.2346e+01	4.2436e+01	2.4767e+02	3.5481e-02	2.2121e+00	1.5057e+00	8.7877e+00	1.2506e+01
90	-1.40	6.1220e+01	4.3561e+01	2.4368e+02	3.9811e-02	2.4372e+00	1.7342e+00	9.7011e+00	1.3872e+01
90	-1.35	5.9363e+01	4.4777e+01	2.3936e+02	4.4668e-02	2.6517e+00	2.0001e+00	1.0692e+01	1.5343e+01
90	-1.30	5.7865e+01	4.5918e+01	2.3325e+02	5.0119e-02	2.9001e+00	2.3013e+00	1.1690e+01	1.6891e+01
90	-1.25	5.6044e+01	4.6261e+01	2.2612e+02	5.6234e-02	3.1516e+00	2.6014e+00	1.2716e+01	1.8469e+01
90	-1.20	5.4431e+01	4.6683e+01	2.1778e+02	6.3096e-02	3.4344e+00	2.9455e+00	1.3741e+01	2.0121e+01
90	-1.15	5.2376e+01	4.6521e+01	2.0914e+02	7.0795e-02	3.7079e+00	3.2934e+00	1.4806e+01	2.1807e+01
90	-1.10	5.0133e+01	4.6173e+01	1.9896e+02	7.9433e-02	3.9822e+00	3.6677e+00	1.5804e+01	2.3454e+01
90	-1.05	4.7973e+01	4.5789e+01	1.8904e+02	8.9125e-02	4.2756e+00	4.0809e+00	1.6848e+01	2.5205e+01
90	-1.00	4.5787e+01	4.5086e+01	1.7834e+02	1.0000e-01	4.5787e+00	4.5086e+00	1.7834e+01	2.6922e+01
90	-0.95	4.3326e+01	4.4026e+01	1.6678e+02	1.1220e-01	4.8612e+00	4.9398e+00	1.8713e+01	2.8514e+01
