#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
50	-3.75	5.8567e-02	1.8373e+02	1.5618e-01	1.7783e-04	1.0415e-05	3.2672e-02	2.7773e-05	3.2710e-02
50	-3.70	9.5698e-02	2.3490e+02	1.4789e-01	1.9953e-04	1.9094e-05	4.6868e-02	2.9509e-05	4.6917e-02
50	-3.65	9.3044e-02	1.6670e+02	1.1630e-01	2.2387e-04	2.0830e-05	3.7320e-02	2.6037e-05	3.7367e-02
50	-3.60	5.5283e-02	1.7221e+02	1.2439e-01	2.5119e-04	1.3887e-05	4.3257e-02	3.1245e-05	4.3302e-02
50	-3.55	9.8543e-02	1.6062e+02	1.9709e-01	2.8184e-04	2.7773e-05	4.5270e-02	5.5546e-05	4.5353e-02
50	-3.50	8.7826e-02	1.5512e+02	1.1527e-01	3.1623e-04	2.7773e-05	4.9053e-02	3.6452e-05	4.9117e-02
50	-3.45	1.0763e-01	1.1846e+02	1.3698e-01	3.5481e-04	3.8188e-05	4.2031e-02	4.8603e-05	4.2118e-02
50	-3.40	9.1565e-02	1.3268e+02	1.4825e-01	3.9811e-04	3.6453e-05	5.2823e-02	5.9018e-05	5.2918e-02
50	-3.35	1.0104e-01	1.1273e+02	1.8653e-01	4.4668e-04	4.5131e-05	5.0356e-02	8.3319e-05	5.0485e-02
50	-3.30	1.1776e-01	1.0589e+02	1.3161e-01	5.0119e-04	5.9018e-05	5.3070e-02	6.5961e-05	5.3195e-02
50	-3.25	9.8776e-02	7.7545e+01	1.3273e-01	5.6234e-04	5.5546e-05	4.3607e-02	7.4640e-05	4.3737e-02
50	-3.20	5.5022e-02	7.3163e+01	1.8432e-01	6.3096e-04	3.4717e-05	4.6163e-02	1.1630e-04	4.6314e-02
50	-3.15	8.5817e-02	6.8653e+01	1.4466e-01	7.0795e-04	6.0754e-05	4.8603e-02	1.0241e-04	4.8766e-02
50	-3.10	1.1801e-01	6.4628e+01	1.5734e-01	7.9433e-04	9.3735e-05	5.1336e-02	1.2498e-04	5.1554e-02
50	-3.05	8.1800e-02	4.4294e+01	1.6555e-01	8.9125e-04	7.2904e-05	3.9477e-02	1.4754e-04	3.9698e-02
50	-3.00	7.4640e-02	4.9296e+01	1.6317e-01	1.0000e-03	7.4640e-05	4.9296e-02	1.6317e-04	4.9534e-02
50	-2.95	7.8899e-02	3.9398e+01	1.3769e-01	1.1220e-03	8.8526e-05	4.4205e-02	1.5449e-04	4.4448e-02
50	-2.90	1.0617e-01	3.7635e+01	1.6684e-01	1.2589e-03	1.3366e-04	4.7380e-02	2.1004e-04	4.7723e-02
50	-2.85	8.2334e-02	3.4026e+01	1.5115e-01	1.4125e-03	1.1630e-04	4.8064e-02	2.1351e-04	4.8393e-02
50	-2.80	6.1332e-02	2.8907e+01	1.5662e-01	1.5849e-03	9.7205e-05	4.5814e-02	2.4822e-04	4.6159e-02
50	-2.75	8.1995e-02	3.0149e+01	1.5716e-01	1.7783e-03	1.4581e-04	5.3613e-02	2.7947e-04	5.4038e-02
50	-2.70	8.6128e-02	2.3284e+01	1.5485e-01	1.9953e-03	1.7185e-04	4.6459e-02	3.0898e-04	4.6939e-02
50	-2.65	7.9862e-02	2.6245e+01	1.3181e-01	2.2387e-03	1.7879e-04	5.8755e-02	2.9509e-04	5.9229e-02
50	-2.60	8.5689e-02	2.1283e+01	1.6447e-01	2.5119e-03	2.1524e-04	5.3460e-02	4.1313e-04	5.4088e-02
50	-2.55	6.8980e-02	1.7722e+01	1.5767e-01	2.8184e-03	1.9441e-04	4.9946e-02	4.4437e-04	5.0585e-02
50	-2.50	7.7946e-02	1.6588e+01	1.5754e-01	3.1623e-03	2.4649e-04	5.2455e-02	4.9818e-04	5.3199e-02
50	-2.45	8.7571e-02	1.3853e+01	1.6438e-01	3.5481e-03	3.1071e-04	4.9152e-02	5.8324e-04	5.0046e-02
50	-2.40	8.1971e-02	1.4245e+01	1.8444e-01	3.9811e-03	3.2633e-04	5.6710e-02	7.3425e-04	5.7770e-02
50	-2.35	8.0829e-02	1.2872e+01	1.6749e-01	4.4668e-03	3.6105e-04	5.7498e-02	7.4814e-04	5.8607e-02
50	-2.30	7.6542e-02	8.7545e+00	1.5274e-01	5.0119e-03	3.8362e-04	4.3877e-02	7.6550e-04	4.5026e-02
50	-2.25	8.4886e-02	1.0814e+01	1.5372e-01	5.6234e-03	4.7735e-04	6.0814e-02	8.6443e-04	6.2156e-02
50	-2.20	8.0057e-02	9.5034e+00	1.6892e-01	6.3096e-03	5.0513e-04	5.9962e-02	1.0658e-03	6.1533e-02
50	-2.15	6.9389e-02	6.7628e+00	1.6624e-01	7.0795e-03	4.9123e-04	4.7877e-02	1.1769e-03	4.9545e-02
50	-2.10	7.8450e-02	7.2274e+00	1.6346e-01	7.9433e-03	6.2315e-04	5.7409e-02	1.2984e-03	5.9331e-02
50	-2.05	8.2190e-02	5.7072e+00	1.6360e-01	8.9125e-03	7.3252e-04	5.0865e-02	1.4581e-03	5.3056e-02
50	-2.00	8.2972e-02	5.2002e+00	1.6872e-01	1.0000e-02	8.2972e-04	5.2002e-02	1.6872e-03	5.4519e-02
