#m_DM	E	dN/dE (electrons)	dN/dE (photons)	dN/dE (others)
8.00e+01	1.413e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.585e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.778e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.995e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.239e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.512e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.818e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	3.162e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	3.548e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	3.981e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	4.467e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	5.012e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	5.623e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	6.310e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	7.079e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	7.943e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	8.913e-07	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.000e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.122e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.259e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.413e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.585e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	1.778e-06	4.8500e-02	0.0000e+00	0.0000e+00
8.00e+01	1.995e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.239e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.512e-06	0.0000e+00	0.0000e+00	0.0000e+00
8.00e+01	2.818e-06	0.0000e+00	2.5705e+01	0.0000e+00
8.00e+01	3.162e-06	0.0000e+00	6.5730e+01	0.0000e+00
