#M_DM	Log[10,E]	dN/dE (electrons)	dN/dE (photons)	dN/dE (other particles)
70	-0.35	2.6110e-03	7.0949e-03	5.7530e-03
70	-0.30	2.6136e-03	5.4152e-03	5.7719e-03
70	-0.25	2.6468e-03	5.6247e-03	5.6849e-03
70	-0.20	2.6642e-03	5.2958e-03	5.7086e-03
70	-0.15	2.6787e-03	5.4276e-03	5.6399e-03
70	-0.10	2.6026e-03	4.4459e-03	5.6274e-03
70	-0.05	2.6015e-03	3.5421e-03	5.6333e-03
70	-0.00	2.5279e-03	3.1885e-03	5.5783e-03
70	0.05	2.5796e-03	2.8712e-03	5.5607e-03
70	0.10	2.5573e-03	2.5478e-03	5.5806e-03
70	0.15	2.5474e-03	2.0988e-03	5.5622e-03
70	0.20	2.5343e-03	1.6562e-03	5.5332e-03
70	0.25	2.5207e-03	1.8935e-03	5.4858e-03
70	0.30	2.5252e-03	1.5036e-03	5.4937e-03
70	0.35	2.5101e-03	1.4572e-03	5.4557e-03
70	0.40	2.5093e-03	1.0997e-03	5.4700e-03
70	0.45	2.4865e-03	9.9535e-04	5.4365e-03
70	0.50	2.4905e-03	9.0675e-04	5.4263e-03
70	0.55	2.4796e-03	8.5009e-04	5.3982e-03
70	0.60	2.4744e-03	7.1225e-04	5.3885e-03
70	0.65	2.4658e-03	6.0543e-04	5.3784e-03
70	0.70	2.4524e-03	6.1615e-04	5.3636e-03
70	0.75	2.4540e-03	5.0790e-04	5.3228e-03
70	0.80	2.4303e-03	3.9398e-04	5.2983e-03
70	0.85	2.4236e-03	4.8673e-04	5.2451e-03
70	0.90	2.3848e-03	2.9561e-04	5.2049e-03
70	0.95	2.3740e-03	2.6641e-04	5.1555e-03
70	1.00	2.3513e-03	2.7432e-04	5.1213e-03
70	1.05	2.3297e-03	2.0823e-04	5.0433e-03
70	1.10	2.2947e-03	2.2316e-04	4.9564e-03
70	1.15	2.2662e-03	1.7684e-04	4.8564e-03
70	1.20	2.2105e-03	1.7599e-04	4.7196e-03
70	1.25	2.1571e-03	1.3483e-04	4.5782e-03
70	1.30	2.0932e-03	1.0989e-04	4.4073e-03
70	1.35	2.0129e-03	1.0791e-04	4.1970e-03
70	1.40	1.9197e-03	8.5685e-05	3.9494e-03
70	1.45	1.8116e-03	7.8309e-05	3.6500e-03
70	1.50	1.6777e-03	5.7428e-05	3.2935e-03
70	1.55	1.5198e-03	5.6602e-05	2.8954e-03
70	1.60	1.3363e-03	4.7443e-05	2.4428e-03
70	1.65	1.1162e-03	3.6384e-05	1.9487e-03
70	1.70	8.6362e-04	2.6731e-05	1.4257e-03
70	1.75	5.8804e-04	3.0463e-05	8.9255e-04
70	1.80	2.9294e-04	1.5778e-05	3.8583e-04
70	1.85	3.4882e-05	8.0659e-06	3.8510e-05
