* He4 energy levels from quantum defect formulae. 
* Tables taken from Drake.
* 
* nmax =       30
* lmax =        6
* 
*  n   S   L   J            Energy [eV]  
   3   1   1   1        1.580529801397e+00
   3   1   1   2        1.580532370119e+00
   3   1   2   1        1.513939876603e+00
   3   1   2   2        1.513945415262e+00
   3   1   2   3        1.513945656074e+00
   4   1   0   1        9.934975325342e-01
   4   1   1   0        8.796035463754e-01
   4   1   1   1        8.796171971349e-01
   4   1   1   2        8.796183702618e-01
   4   1   2   1        8.514130760578e-01
   4   1   2   2        8.514153103779e-01
   4   1   2   3        8.514155134983e-01
   4   1   3   2        8.504968327490e-01
   4   1   3   3        8.504987592746e-01
   4   1   3   4        8.504978467090e-01
   5   1   0   1        6.155015060155e-01
   5   1   1   0        5.592331052002e-01
   5   1   1   1        5.592400253275e-01
   5   1   1   2        5.592405659678e-01
   5   1   2   1        5.448001865893e-01
   5   1   2   2        5.448013302311e-01
   5   1   2   3        5.448014341988e-01
   5   1   3   2        5.443085464381e-01
   5   1   3   3        5.443094808785e-01
   5   1   3   4        5.443091693981e-01
   5   1   4   3        5.442472939292e-01
   5   1   4   4        5.442479167841e-01
   5   1   4   5        5.442476053565e-01
   6   1   0   1        4.184485117475e-01
   6   1   1   0        3.866222849597e-01
   6   1   1   1        3.866262007068e-01
   6   1   1   2        3.866265114829e-01
   6   1   2   1        3.782769891862e-01
   6   1   2   2        3.782777110200e-01
   6   1   2   3        3.782777110200e-01
   6   1   3   2        3.779854771786e-01
   6   1   3   3        3.779859578448e-01
   6   1   3   4        3.779857775948e-01
   6   1   4   3        3.779485287116e-01
   6   1   4   4        3.779489492328e-01
   6   1   4   5        3.779487089349e-01
   6   1   5   4        3.779399982907e-01
   6   1   5   5        3.779402385803e-01
   6   1   5   6        3.779401184355e-01
   7   1   0   1        3.028644619074e-01
   7   1   1   0        2.831359407137e-01
   7   1   1   1        2.831383947227e-01
   7   1   1   2        2.831386284395e-01
   7   1   2   1        2.778857183109e-01
   7   1   2   2        2.778861727979e-01
   7   1   2   3        2.778862106718e-01
   7   1   3   2        2.776994725671e-01
   7   1   3   3        2.776997752537e-01
   7   1   3   4        2.776996617462e-01
   7   1   4   3        2.776756753814e-01
   7   1   4   4        2.776759023671e-01
   7   1   4   5        2.776757888742e-01
   7   1   5   4        2.776700764881e-01
   7   1   5   5        2.776702278073e-01
   7   1   5   6        2.776701521477e-01
   7   1   6   5        2.776683363260e-01
   7   1   6   6        2.776684498143e-01
