# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.439267830204e+01       2.842281348009e-01       3.786325757140e+03       7.621390614632e-03       1.037871965530e+04       6.742634031353e+02       1.597562928411e+05       7.872808377962e+02       1.544670469006e-07       8.940361835308e-06       4.884898137865e-05       3.492914243310e-08       1.068554975131e-07       5.808559490080e-05       8.285174437565e-02       9.966673115530e-01 
       1.428549310446e+01       2.872342722463e-01       3.800463432738e+03       7.541853205864e-03       1.036458197970e+04       6.780665765159e+02       1.584277463814e+05       7.885035934155e+02       1.502093219811e-07       8.754893702531e-06       4.783560747598e-05       3.492914243310e-08       1.039101358734e-07       5.687954977879e-05       8.343077991776e-02       9.966812340483e-01 
       1.417905426615e+01       2.902721128266e-01       3.814650721831e+03       7.463147665840e-03       1.035039469061e+04       6.818866649478e+02       1.571092026848e+05       7.897264559495e+02       1.460689563635e-07       8.573273091086e-06       4.684325593251e-05       3.492914243310e-08       1.010459597476e-07       5.569857308214e-05       8.401387039145e-02       9.966948649132e-01 
       1.407335658998e+01       2.933419901427e-01       3.828887795064e+03       7.385265290853e-03       1.033615761738e+04       6.857236844144e+02       1.558005895370e+05       7.909494244588e+02       1.420427151829e-07       8.395420184725e-06       4.587149064258e-05       3.492914243310e-08       9.826073135689e-08       5.454214341627e-05       8.460104407754e-02       9.967082020256e-01 
       1.396839491502e+01       2.964442412915e-01       3.843174823623e+03       7.308197468608e-03       1.032187058882e+04       6.895776499360e+02       1.545018352352e+05       7.921724980053e+02       1.381274527392e-07       8.221256822968e-06       4.491988454743e-05       3.492914243310e-08       9.555227460368e-08       5.340975024017e-05       8.519232945078e-02       9.967212431907e-01 
       1.386416411627e+01       2.995792069021e-01       3.857511979243e+03       7.231935677267e-03       1.030753343320e+04       6.934485755517e+02       1.532128685850e+05       7.933956756525e+02       1.343201100391e-07       8.050706466755e-06       4.398801944753e-05       3.492914243310e-08       9.291847337177e-08       5.230089364013e-05       8.578775518117e-02       9.967339861397e-01 
       1.376065910442e+01       3.027472311723e-01       3.871899434200e+03       7.156471484491e-03       1.029314597824e+04       6.973364743013e+02       1.519336188968e+05       7.946189564650e+02       1.306177124068e-07       7.883694164811e-06       4.307548581881e-05       3.492914243310e-08       9.035726987287e-08       5.121508410833e-05       8.638735013512e-02       9.967464285286e-01 
       1.365787482558e+01       3.059486619057e-01       3.886337361321e+03       7.081796546499e-03       1.027870805112e+04       7.012413582071e+02       1.506640159820e+05       7.958423395086e+02       1.270173671595e-07       7.720146520708e-06       4.218188263266e-05       3.492914243310e-08       8.786666303898e-08       5.015184232600e-05       8.699114337677e-02       9.967585679370e-01 
       1.355580626107e+01       3.091838505487e-01       3.900825933974e+03       7.007902607135e-03       1.026421947847e+04       7.051632382549e+02       1.494039901496e+05       7.970658238503e+02       1.235162613473e-07       7.559991660609e-06       4.130681717974e-05       3.492914243310e-08       8.544470695893e-08       4.911069895109e-05       8.759916416917e-02       9.967704018659e-01 
       1.345444842714e+01       3.124531522287e-01       3.915365326077e+03       6.934781496946e-03       1.024968008636e+04       7.091021243757e+02       1.481534722030e+05       7.982894085580e+02       1.201116595557e-07       7.403159201683e-06       4.044990489736e-05       3.492914243310e-08       8.308950935804e-08       4.809119441039e-05       8.821144197560e-02       9.967819277372e-01 
