# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.275079502916e+04       4.289027946879e-06       3.420863449286e+01       3.946959866858e+02       1.413939760803e+04       1.108816254943e+00       1.803027001334e+08       1.950308768937e+01       7.275525465462e+04       5.083074640540e+03       2.761637774476e+04       5.022430082876e+04       1.674122290518e+04       3.493499587214e-08       1.059140371812e+02       1.557849219059e+05       3.464330404554e-04       3.055349629247e-01 
       1.266212062360e+04       4.347074836329e-06       3.443478973187e+01       3.895116905672e+02       1.413917145279e+04       1.116562960511e+00       1.790460336245e+08       1.963035531945e+01       7.075254188462e+04       4.977769111585e+03       2.704425211768e+04       4.884179540239e+04       1.628039068355e+04       3.493499587214e-08       1.029985722324e+02       1.517193570885e+05       3.471740522734e-04       3.068589974363e-01 
       1.257406267149e+04       4.405894314584e-06       3.466236144926e+01       3.843970379154e+02       1.413894388108e+04       1.124363691096e+00       1.777981054132e+08       1.975839767121e+01       6.880495332498e+04       4.874644980026e+03       2.648397803691e+04       4.749734306140e+04       1.583224278326e+04       3.493499587214e-08       1.001633547887e+02       1.477610827581e+05       3.479198703200e-04       3.081872969015e-01 
       1.248661688785e+04       4.465496424544e-06       3.489135759131e+01       3.793510794880e+02       1.413871488493e+04       1.132218822207e+00       1.765588547696e+08       1.988721879012e+01       6.691097178605e+04       4.773657061810e+03       2.593531001719e+04       4.618989646740e+04       1.539643009205e+04       3.493499587214e-08       9.740617618921e+01       1.439072415087e+05       3.486705291261e-04       3.095198485480e-01 
       1.239977901747e+04       4.525891335406e-06       3.512178613875e+01       3.743728790866e+02       1.413848445639e+04       1.140128731950e+00       1.753282213857e+08       2.001682273510e+01       6.506912183386e+04       4.674761108745e+03       2.539800765780e+04       4.491843710657e+04       1.497261310587e+04       3.493499587214e-08       9.472488855927e+01       1.401550525956e+05       3.494260634676e-04       3.108566393130e-01 
       1.231354483475e+04       4.587089344184e-06       3.535365510675e+01       3.694615133770e+02       1.413825258742e+04       1.148093801042e+00       1.741061453727e+08       2.014721357842e+01       6.327796864097e+04       4.577913789111e+03       2.487183553725e+04       4.368197449634e+04       1.456046166441e+04       3.493499587214e-08       9.211740313750e+01       1.365018098668e+05       3.501865083672e-04       3.121976558429e-01 
       1.222791014341e+04       4.649100877241e-06       3.558697254503e+01       3.646160717116e+02       1.413801926998e+04       1.156114412828e+00       1.728925672585e+08       2.027839540565e+01       6.153611686895e+04       4.483072668686e+03       2.435656311010e+04       4.247954541398e+04       1.415965469397e+04       3.493499587214e-08       8.958168864895e+01       1.329448797504e+05       3.509518990958e-04       3.135428844925e-01 
       1.214287077640e+04       4.711936491846e-06       3.582174653785e+01       3.598356559542e+02       1.413778449599e+04       1.164190953304e+00       1.716874279839e+08       2.041037231566e+01       5.984220958163e+04       4.390196192151e+03       2.385196460605e+04       4.131021314640e+04       1.376987995738e+04       3.493499587214e-08       8.711576972306e+01       1.294816992960e+05       3.517222711744e-04       3.148923113243e-01 
       1.205842259561e+04       4.775606877735e-06       3.605798520411e+01       3.551193803076e+02       1.413754825732e+04       1.172323811131e+00       1.704906689008e+08       2.054314842054e+01       5.819492718823e+04       4.299243664893e+03       2.335781893100e+04       4.017306676058e+04       1.339083381082e+04       3.493499587214e-08       8.471772535512e+01       1.261097742701e+05       3.524976603760e-04       3.162459221083e-01 
       1.197456149167e+04       4.840122858707e-06       3.629569669735e+01       3.504663711435e+02       1.413731054583e+04       1.180513377653e+00       1.693022317685e+08       2.067672784556e+01       5.659298641560e+04       4.210175235173e+03       2.287390957018e+04       3.906722039409e+04       1.302222096733e+04       3.493499587214e-08       8.238568741010e+01       1.228266773025e+05       3.532781027269e-04       3.176037023209e-01 
