z	chi_Mpc	D_M_Mpc	D_A_Mpc	H_1perMpc
0.8800	3081.669689972	3081.389686007	1639.037067025	1.995858603108e-04
0.8900	3108.249097420	3107.961785817	1644.424225300	1.997193410963e-04
0.9000	3134.670298567	3134.375597901	1649.671367316	1.998568890022e-04
0.9100	3160.934450314	3160.632280015	1654.781298437	1.999984073300e-04
0.9200	3187.042705934	3186.732986293	1659.756763694	2.001438046233e-04
0.9300	3212.996214651	3212.678866822	1664.600449130	2.002929902504e-04
0.9400	3238.796121611	3238.471067610	1669.314983304	2.004458749247e-04
0.9500	3264.443567563	3264.110730277	1673.902938604	2.006023730923e-04
0.9600	3289.939688629	3289.598991811	1678.366832557	2.007624004472e-04
0.9700	3315.285616261	3314.936984535	1682.709129205	2.009258742051e-04
0.9800	3340.482476901	3340.125835758	1686.932240282	2.010927147174e-04
0.9900	3365.531391839	3365.166667641	1691.038526453	2.012628429302e-04
1.0000	3390.433477188	3390.060597168	1695.030298584	2.014361825381e-04
1.0100	3415.189843529	3414.808735787	1698.909818800	2.016126592660e-04
1.0200	3439.801595877	3439.412189382	1702.679301674	2.017921988543e-04
1.0300	3464.269833579	3463.872058166	1706.340915353	2.019747309946e-04
1.0400	3488.595650057	3488.189436425	1709.896782561	2.021601861002e-04
1.0500	3512.780132800	3512.365412512	1713.348981713	2.023484952767e-04
1.0600	3536.824363222	3536.401068701	1716.699547913	2.025395928022e-04
1.0700	3560.729416486	3560.297481013	1719.950473919	2.027334138404e-04
1.0800	3584.496361509	3584.055719220	1723.103711164	2.029298942698e-04
1.0900	3608.126260810	3607.676846692	1726.161170666	2.031289727800e-04
1.1000	3631.620170384	3631.161920275	1729.124723940	2.033305888912e-04
1.1100	3654.979139723	3654.511990302	1731.996203935	2.035346828897e-04
1.1200	3678.204211660	3677.728100450	1734.777405873	2.037411975540e-04
1.1300	3701.296422291	3700.811287652	1737.470088100	2.039500764660e-04
1.1400	3724.256800993	3723.762582118	1740.075972952	2.041612639626e-04
1.1500	3747.086370291	3746.583007200	1742.596747535	2.043747066353e-04
1.1600	3769.786145801	3769.273579339	1745.034064509	2.045903518495e-04
1.1700	3792.357136251	3791.835308082	1747.389542895	2.048081476401e-04
1.1800	3814.800343375	3814.269195978	1749.664768797	2.050280441664e-04
1.1900	3837.116761866	3836.576238529	1751.861296132	2.052499923372e-04
1.2000	3859.307379407	3858.757424220	1753.980647373	2.054739435663e-04
1.2100	3881.373176585	3880.813734440	1756.024314226	2.056998513544e-04
1.2200	3903.315126856	3902.746143437	1757.993758305	2.059276698682e-04
