Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
You are working in Slatyer et al. Formalism. 
pann(600)= 3.921510e-06
f_halo= 1.612549e-02
3.809368e-01 6.348947e-06 9.796000e+03 
3.809347e-01 6.348912e-06 9.795500e+03 
3.809327e-01 6.348878e-06 9.795000e+03 
3.809306e-01 6.348843e-06 9.794500e+03 
3.809285e-01 6.348809e-06 9.794000e+03 
3.809264e-01 6.348774e-06 9.793500e+03 
3.809244e-01 6.348739e-06 9.793000e+03 
3.809223e-01 6.348705e-06 9.792500e+03 
3.809202e-01 6.348670e-06 9.792000e+03 
3.809181e-01 6.348636e-06 9.791500e+03 
3.809161e-01 6.348601e-06 9.791000e+03 
3.809140e-01 6.348567e-06 9.790500e+03 
3.809119e-01 6.348532e-06 9.790000e+03 
3.809099e-01 6.348498e-06 9.789500e+03 
3.809078e-01 6.348463e-06 9.789000e+03 
3.809057e-01 6.348428e-06 9.788500e+03 
3.809036e-01 6.348394e-06 9.788000e+03 
3.809016e-01 6.348359e-06 9.787500e+03 
3.808995e-01 6.348325e-06 9.787000e+03 
3.808974e-01 6.348290e-06 9.786500e+03 
3.808953e-01 6.348256e-06 9.786000e+03 
3.808933e-01 6.348221e-06 9.785500e+03 
3.808912e-01 6.348186e-06 9.785000e+03 
3.808891e-01 6.348152e-06 9.784500e+03 
3.808870e-01 6.348117e-06 9.784000e+03 
3.808850e-01 6.348083e-06 9.783500e+03 
3.808829e-01 6.348048e-06 9.783000e+03 
3.808808e-01 6.348014e-06 9.782500e+03 
3.808787e-01 6.347979e-06 9.782000e+03 
3.808767e-01 6.347944e-06 9.781500e+03 
3.808746e-01 6.347910e-06 9.781000e+03 
3.808725e-01 6.347875e-06 9.780500e+03 
3.808704e-01 6.347841e-06 9.780000e+03 
3.808684e-01 6.347806e-06 9.779500e+03 
3.808663e-01 6.347771e-06 9.779000e+03 
3.808642e-01 6.347737e-06 9.778500e+03 
3.808621e-01 6.347702e-06 9.778000e+03 
3.808601e-01 6.347668e-06 9.777500e+03 
3.808580e-01 6.347633e-06 9.777000e+03 
3.808559e-01 6.347598e-06 9.776500e+03 
3.808538e-01 6.347564e-06 9.776000e+03 
3.808518e-01 6.347529e-06 9.775500e+03 
3.808497e-01 6.347495e-06 9.775000e+03 
3.808476e-01 6.347460e-06 9.774500e+03 
3.808455e-01 6.347425e-06 9.774000e+03 
3.808434e-01 6.347391e-06 9.773500e+03 
3.808414e-01 6.347356e-06 9.773000e+03 
3.808393e-01 6.347322e-06 9.772500e+03 
3.808372e-01 6.347287e-06 9.772000e+03 
3.808351e-01 6.347252e-06 9.771500e+03 
3.808331e-01 6.347218e-06 9.771000e+03 
3.808310e-01 6.347183e-06 9.770500e+03 
3.808289e-01 6.347148e-06 9.770000e+03 
3.808268e-01 6.347114e-06 9.769500e+03 
3.808247e-01 6.347079e-06 9.769000e+03 
3.808227e-01 6.347044e-06 9.768500e+03 
3.808206e-01 6.347010e-06 9.768000e+03 
3.808185e-01 6.346975e-06 9.767500e+03 
3.808164e-01 6.346941e-06 9.767000e+03 
3.808144e-01 6.346906e-06 9.766500e+03 
3.808123e-01 6.346871e-06 9.766000e+03 
3.808102e-01 6.346837e-06 9.765500e+03 
3.808081e-01 6.346802e-06 9.765000e+03 
3.808060e-01 6.346767e-06 9.764500e+03 
3.808040e-01 6.346733e-06 9.764000e+03 
3.808019e-01 6.346698e-06 9.763500e+03 
3.807998e-01 6.346663e-06 9.763000e+03 
3.807977e-01 6.346629e-06 9.762500e+03 
3.807956e-01 6.346594e-06 9.762000e+03 
3.807936e-01 6.346559e-06 9.761500e+03 
3.807915e-01 6.346525e-06 9.761000e+03 
3.807894e-01 6.346490e-06 9.760500e+03 
3.807873e-01 6.346455e-06 9.760000e+03 
3.807852e-01 6.346421e-06 9.759500e+03 
3.807832e-01 6.346386e-06 9.759000e+03 
3.807811e-01 6.346351e-06 9.758500e+03 
3.807790e-01 6.346317e-06 9.758000e+03 
3.807769e-01 6.346282e-06 9.757500e+03 
3.807748e-01 6.346247e-06 9.757000e+03 
3.807728e-01 6.346213e-06 9.756500e+03 
3.807707e-01 6.346178e-06 9.756000e+03 
3.807686e-01 6.346143e-06 9.755500e+03 
3.807665e-01 6.346109e-06 9.755000e+03 
3.807644e-01 6.346074e-06 9.754500e+03 
3.807624e-01 6.346039e-06 9.754000e+03 
3.807603e-01 6.346005e-06 9.753500e+03 
3.807582e-01 6.345970e-06 9.753000e+03 
3.807561e-01 6.345935e-06 9.752500e+03 
3.807540e-01 6.345901e-06 9.752000e+03 
3.807520e-01 6.345866e-06 9.751500e+03 
3.807499e-01 6.345831e-06 9.751000e+03 
3.807478e-01 6.345796e-06 9.750500e+03 
3.807457e-01 6.345762e-06 9.750000e+03 
3.807436e-01 6.345727e-06 9.749500e+03 
3.807415e-01 6.345692e-06 9.749000e+03 
3.807395e-01 6.345658e-06 9.748500e+03 
3.807374e-01 6.345623e-06 9.748000e+03 
3.807353e-01 6.345588e-06 9.747500e+03 
3.807332e-01 6.345554e-06 9.747000e+03 
3.807311e-01 6.345519e-06 9.746500e+03 
3.807290e-01 6.345484e-06 9.746000e+03 
3.807270e-01 6.345449e-06 9.745500e+03 
3.807249e-01 6.345415e-06 9.745000e+03 
3.807228e-01 6.345380e-06 9.744500e+03 
3.807207e-01 6.345345e-06 9.744000e+03 
3.807186e-01 6.345311e-06 9.743500e+03 
3.807165e-01 6.345276e-06 9.743000e+03 
3.807145e-01 6.345241e-06 9.742500e+03 
3.807124e-01 6.345206e-06 9.742000e+03 
3.807103e-01 6.345172e-06 9.741500e+03 
3.807082e-01 6.345137e-06 9.741000e+03 
3.807061e-01 6.345102e-06 9.740500e+03 
3.807040e-01 6.345067e-06 9.740000e+03 
3.807020e-01 6.345033e-06 9.739500e+03 
3.806999e-01 6.344998e-06 9.739000e+03 
3.806978e-01 6.344963e-06 9.738500e+03 
3.806957e-01 6.344928e-06 9.738000e+03 
3.806936e-01 6.344894e-06 9.737500e+03 
3.806915e-01 6.344859e-06 9.737000e+03 
3.806895e-01 6.344824e-06 9.736500e+03 
3.806874e-01 6.344789e-06 9.736000e+03 
3.806853e-01 6.344755e-06 9.735500e+03 
3.806832e-01 6.344720e-06 9.735000e+03 
3.806811e-01 6.344685e-06 9.734500e+03 
3.806790e-01 6.344650e-06 9.734000e+03 
3.806769e-01 6.344616e-06 9.733500e+03 
3.806749e-01 6.344581e-06 9.733000e+03 
3.806728e-01 6.344546e-06 9.732500e+03 
3.806707e-01 6.344511e-06 9.732000e+03 
3.806686e-01 6.344477e-06 9.731500e+03 
3.806665e-01 6.344442e-06 9.731000e+03 
3.806644e-01 6.344407e-06 9.730500e+03 
3.806623e-01 6.344372e-06 9.730000e+03 
3.806603e-01 6.344338e-06 9.729500e+03 
3.806582e-01 6.344303e-06 9.729000e+03 
3.806561e-01 6.344268e-06 9.728500e+03 
3.806540e-01 6.344233e-06 9.728000e+03 
3.806519e-01 6.344198e-06 9.727500e+03 
